,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-05-31T18:45:33-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-31T18:45:33-04:00,6.2,175,P57,2.3,233, ,41º 20.388 N,71º 23.849 W,2.3,138,6.4,0.1,156,1021.4,58.6,0.0,0.0,7.6
2023-05-31T23:01:56-04:00,4.3,194,S35,1.8,159, ,41º 14.520 N,71º 34.028 W,2.4,136,6.7,0.1,223,1021.4,57.8,0.0,0.0,4.5
2023-06-01T01:01:52-04:00,4.1,244,S63,2.4,181, ,41º 11.198 N,71º 32.321 W,2.9,138,6.8,0.2,235,1021.0,57.5,0.0,0.0,4.1
2023-06-01T01:56:52-04:00,3.6,271,S71,2.3,200, ,41º 09.035 N,71º 32.392 W,3.1,139,6.9,0.3,243,1020.9,57.4,0.0,0.0,3.6
2023-06-01T04:45:55-04:00,3.6,302,S82,2.5,219, ,41º 02.849 N,71º 35.318 W,3.5,138,7.1,0.2,252,1020.4,57.5,0.0,0.0,3.6
2023-06-01T10:08:31-04:00,2.5,286,S88,1.4,198, ,40º 52.517 N,71º 46.551 W,3.8,136,7.1,0.3,225,1020.2,59.8,0.0,0.0,2.7
2023-06-01T11:01:53-04:00,1.8,218,P40,2.2,259, ,40º 51.366 N,71º 47.042 W,3.8,136,7.1,0.3,228,1020.0,60.4,0.0,0.0,2.0
2023-06-01T14:50:53-04:00,6.6,182,P77,4.2,259, ,40º 49.682 N,71º 57.992 W,3.6,135,7.1,0.2,254,1018.8,62.4,0.0,0.0,6.7
2023-06-01T16:53:05-04:00,8.2,187,P80,4.7,267, ,40º 47.998 N,72º 08.942 W,3.5,134,7.0,0.1,229,1017.8,63.4,0.0,0.0,8.6
2023-06-01T19:32:31-04:00,9.2,197,P70,3.6,267, ,40º 47.273 N,72º 25.307 W,3.2,134,6.8,0.0,9,1016.9,62.3,0.0,0.0,11.5
2023-06-01T22:59:32-04:00,7.2,228,S47,2.4,181, ,40º 46.548 N,72º 41.673 W,2.9,133,6.8,0.1,231,1016.8,62.4,0.0,0.0,8.6
2023-06-01T23:17:27-04:00,7.2,230,P29,1.7,259, ,40º 45.827 N,72º 41.696 W,2.8,133,6.8,0.1,230,1016.7,62.3,0.0,0.0,8.6
2023-06-02T00:55:11-04:00,6.7,239,S49,2.3,190, ,40º 45.266 N,72º 45.347 W,2.6,132,6.8,0.1,221,1016.2,62.5,0.0,0.0,8.2
2023-06-02T04:51:34-04:00,7.5,232,P56,2.7,288, ,40º 36.337 N,72º 47.455 W,2.9,129,6.9,0.1,196,1014.4,62.1,0.0,0.0,9.4
2023-06-02T06:58:11-04:00,6.0,242,S57,2.4,185, ,40º 38.097 N,72º 54.660 W,2.6,128,6.8,0.1,202,1014.3,64.6,0.0,0.0,7.5
2023-06-02T09:13:32-04:00,7.1,232,P50,3.4,282, ,40º 32.622 N,72º 55.293 W,2.8,127,6.8,0.1,172,1014.3,64.0,0.0,0.0,8.1
2023-06-02T12:08:36-04:00,8.4,204,P78,5.2,282, ,40º 34.621 N,73º 07.938 W,2.5,129,6.7,0.0,228,1013.5,67.8,0.0,0.0,9.4
2023-06-02T14:01:03-04:00,9.1,189,S171,1.8,18, ,40º 36.619 N,73º 20.583 W,2.0,132,6.3,,,1012.4,72.4,0.0,0.0,10.0
2023-06-02T14:42:18-04:00,7.9,185,P19,1.0,205, ,40º 37.770 N,73º 20.092 W,1.9,134,6.2,,,1012.1,73.4,0.0,0.1,9.1
2023-06-02T16:27:59-04:00,5.8,180,S77,3.0,103, ,40º 36.188 N,73º 21.051 W,2.0,134,6.1,,,1011.5,70.5,0.1,0.0,8.1
2023-06-02T18:26:50-04:00,4.8,209,S76,3.7,133, ,40º 34.859 N,73º 13.378 W,2.3,132,6.3,0.1,245,1011.6,67.3,0.0,0.0,7.0
2023-06-02T22:18:33-04:00,3.9,212,S99,2.1,113, ,40º 25.144 N,72º 59.623 W,2.6,131,6.2,0.1,264,1012.2,63.7,0.3,0.0,4.5
2023-06-02T23:12:14-04:00,2.9,276,S95,2.1,181, ,40º 24.414 N,72º 57.377 W,2.6,131,6.2,0.1,271,1012.3,63.5,0.3,0.0,3.0
2023-06-03T01:54:42-04:00,5.0,292,S90,3.2,202, ,40º 18.649 N,72º 57.566 W,2.5,130,6.3,0.1,276,1011.2,62.6,0.1,0.0,5.1
2023-06-03T03:46:47-04:00,5.6,341,S127,2.8,214, ,40º 13.184 N,73º 00.469 W,2.5,128,6.4,0.2,282,1010.9,62.3,0.0,0.0,5.8
2023-06-03T05:22:39-04:00,6.9,14,P156,5.0,170, ,40º 09.449 N,73º 03.769 W,2.4,126,6.4,0.2,271,1010.8,61.8,0.0,0.0,7.3
2023-06-03T08:13:11-04:00,11.5,44,P126,7.2,170, ,39º 55.598 N,73º 00.590 W,2.4,118,6.5,0.3,245,1011.6,60.1,0.0,0.0,13.6
2023-06-03T10:11:05-04:00,15.6,51,P113,9.2,164, ,39º 41.747 N,72º 57.412 W,2.8,103,5.6,0.5,222,1012.1,58.6,0.1,0.0,16.4
2023-06-03T11:17:37-04:00,18.7,51,S152,7.1,259, ,39º 31.929 N,72º 53.648 W,2.9,98,5.7,0.6,222,1012.3,58.1,0.0,0.0,19.9
2023-06-03T13:07:01-04:00,21.3,50,S153,7.0,257, ,39º 29.402 N,73º 10.073 W,4.0,70,5.1,0.6,233,1012.7,57.3,0.0,0.0,22.9
2023-06-03T15:01:39-04:00,23.2,52,S153,7.0,259, ,39º 26.446 N,73º 26.965 W,5.1,60,4.8,0.5,235,1012.9,56.8,0.6,0.0,25.1
2023-06-03T17:24:07-04:00,24.6,53,S152,6.9,261, ,39º 23.217 N,73º 47.952 W,6.2,58,5.1,0.5,222,1013.2,56.4,1.5,0.0,26.9
2023-06-03T20:21:13-04:00,24.2,60,P154,6.8,214, ,39º 20.008 N,74º 13.478 W,6.2,66,5.4,0.5,213,1014.2,57.6,1.0,0.0,26.0
2023-06-03T20:56:16-04:00,24.3,59,S160,6.5,259, ,39º 16.705 N,74º 16.309 W,6.4,65,5.5,0.5,219,1014.1,57.6,0.7,0.0,25.9
2023-06-03T21:56:24-04:00,23.3,57,S151,6.9,266, ,39º 15.441 N,74º 24.521 W,6.1,68,5.5,0.4,223,1014.2,57.5,0.4,0.0,25.1
2023-06-03T23:13:16-04:00,17.7,53,P99,9.7,152, ,39º 14.768 N,74º 35.893 W,5.0,72,5.5,0.3,211,1014.5,56.4,0.1,0.0,22.1
