,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-05-18T14:26:41-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T14:26:41-04:00,13.2,205,S56,5.4,149, ,41º 20.388 N,71º 23.849 W,0.6,179,6.0,0.1,192,1027.2,10.7,0.0,0.0,13.2
2023-05-18T16:05:36-04:00,13.9,207,S58,5.3,149, ,41º 12.722 N,71º 17.746 W,0.7,186,5.8,0.1,268,1027.5,10.2,0.0,0.0,13.9
2023-05-18T17:46:18-04:00,14.5,194,P51,5.1,245, ,41º 05.057 N,71º 11.641 W,0.7,184,5.8,0.1,173,1027.9,10.2,0.0,0.0,14.5
2023-05-18T19:41:44-04:00,14.0,191,P54,5.4,245, ,41º 00.926 N,71º 23.352 W,0.7,184,5.5,0.1,205,1028.4,10.5,0.0,0.0,14.0
2023-05-18T21:30:19-04:00,13.6,186,P57,5.3,244, ,40º 56.794 N,71º 35.063 W,0.7,181,5.2,0.0,322,1029.1,10.8,0.0,0.0,13.6
2023-05-18T23:20:43-04:00,11.5,186,P75,6.3,261, ,40º 52.517 N,71º 46.551 W,0.7,177,5.0,0.0,54,1029.7,11.0,0.0,0.0,13.3
2023-05-19T01:16:46-04:00,10.9,179,P82,6.6,261, ,40º 50.662 N,72º 02.500 W,0.7,170,4.7,0.1,59,1029.4,11.2,0.0,0.0,12.5
2023-05-19T03:08:04-04:00,11.1,179,P82,6.2,261, ,40º 48.806 N,72º 18.448 W,0.7,165,4.5,0.1,40,1029.2,11.2,0.0,0.0,12.8
2023-05-19T05:05:50-04:00,9.6,185,P81,5.5,266, ,40º 46.950 N,72º 34.397 W,0.8,162,4.3,0.0,22,1029.2,11.6,0.0,0.0,13.7
2023-05-19T06:05:58-04:00,8.9,184,P58,3.4,241, ,40º 46.548 N,72º 41.673 W,0.8,162,4.3,0.2,69,1029.4,12.0,0.0,0.0,13.7
