,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-05-18T14:26:41-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T14:26:41-04:00,9.5,206,S53,3.7,153, ,41º 20.388 N,71º 23.849 W,0.6,179,6.0,0.1,192,1027.1,9.7,0.0,0.0,19.7
2023-05-18T17:16:03-04:00,9.4,212,S59,3.6,153, ,41º 11.136 N,71º 17.570 W,0.7,188,5.5,0.0,255,1027.2,10.3,0.0,0.0,16.5
2023-05-18T20:08:55-04:00,10.6,198,P49,3.8,247, ,41º 01.885 N,71º 11.291 W,0.7,186,5.5,0.1,211,1028.0,10.6,0.0,0.0,15.9
2023-05-19T01:15:54-04:00,10.5,183,P75,6.1,258, ,40º 54.061 N,71º 36.514 W,0.7,176,4.9,0.0,0,1029.1,11.4,0.0,0.0,13.5
2023-05-19T02:31:39-04:00,11.5,179,P83,7.2,262, ,40º 52.517 N,71º 46.551 W,0.7,173,4.8,0.1,51,1028.9,11.5,0.0,0.0,13.7
2023-05-19T04:28:55-04:00,11.6,175,P87,7.6,262, ,40º 50.527 N,72º 04.925 W,0.7,167,4.5,0.1,59,1028.9,11.7,0.0,0.0,14.1
2023-05-19T06:19:31-04:00,12.2,172,P90,8.0,262, ,40º 48.538 N,72º 23.299 W,0.7,163,4.3,0.0,11,1029.3,12.1,0.0,0.0,14.4
2023-05-19T08:04:42-04:00,11.6,167,P76,6.3,243, ,40º 46.548 N,72º 41.673 W,0.8,162,4.3,0.2,69,1029.7,12.9,0.0,0.0,15.3
2023-05-19T10:32:38-04:00,13.3,170,P89,9.1,259, ,40º 39.417 N,73º 00.064 W,0.8,159,4.4,,,1029.7,13.3,0.0,0.0,14.0
2023-05-19T11:37:53-04:00,14.9,173,P89,9.8,262, ,40º 37.452 N,73º 12.839 W,0.8,156,4.4,,,1029.2,13.8,0.0,0.0,15.0
2023-05-19T12:14:21-04:00,14.5,174,S156,5.9,18, ,40º 36.619 N,73º 20.583 W,0.8,156,4.4,,,1028.8,13.8,0.0,0.0,14.6
2023-05-19T12:26:37-04:00,13.8,174,P24,2.2,198, ,40º 37.770 N,73º 20.092 W,0.8,156,4.4,,,1028.7,14.1,0.0,0.0,15.2
2023-05-19T12:59:41-04:00,13.7,173,S72,6.9,101, ,40º 36.619 N,73º 20.583 W,0.8,155,4.4,,,1028.5,13.9,0.0,0.0,15.3
2023-05-19T15:40:58-04:00,14.8,162,S62,5.8,100, ,40º 33.062 N,72º 57.094 W,0.9,153,4.5,0.2,50,1027.3,13.6,0.0,0.0,15.8
2023-05-19T19:00:23-04:00,12.3,148,P53,4.6,201, ,40º 30.235 N,72º 35.852 W,0.8,150,4.8,0.1,306,1026.3,13.8,0.0,0.0,13.6
2023-05-19T19:55:00-04:00,12.9,140,P54,5.6,194, ,40º 26.351 N,72º 37.795 W,0.8,148,5.0,0.1,335,1026.0,14.0,0.0,0.0,13.7
2023-05-19T22:03:05-04:00,13.4,127,P67,5.6,194, ,40º 14.835 N,72º 41.576 W,1.0,144,5.5,0.1,341,1025.6,14.3,0.0,0.0,14.0
2023-05-20T00:11:09-04:00,10.4,143,P60,3.8,203, ,40º 03.319 N,72º 45.358 W,1.1,141,5.9,0.2,348,1024.5,14.5,0.0,0.0,14.7
2023-05-20T02:12:46-04:00,9.5,128,P70,5.6,198, ,39º 56.272 N,72º 49.220 W,1.3,140,6.1,0.3,342,1023.0,14.8,0.0,0.0,15.6
2023-05-20T03:43:04-04:00,11.4,110,P73,6.8,184, ,39º 48.214 N,72º 52.661 W,1.3,137,6.2,0.2,346,1022.2,14.9,0.0,0.0,15.7
2023-05-20T05:53:46-04:00,14.7,98,P146,6.5,244, ,39º 31.929 N,72º 53.648 W,1.5,134,6.3,0.1,301,1021.3,15.6,0.1,0.0,16.4
2023-05-20T07:30:59-04:00,13.6,94,P150,5.8,244, ,39º 27.367 N,73º 05.827 W,1.6,133,6.4,0.1,290,1020.8,15.9,1.3,0.0,17.8
2023-05-20T09:19:10-04:00,12.1,92,S157,3.8,295, ,39º 22.805 N,73º 18.005 W,1.8,135,6.5,0.0,315,1019.5,16.5,4.4,0.0,22.4
2023-05-20T13:15:25-04:00,2.7,331,S94,1.6,237, ,39º 29.076 N,73º 35.504 W,2.1,140,6.5,0.0,11,1016.7,16.5,2.9,0.0,23.8
2023-05-20T16:10:28-04:00,2.4,251,P12,2.6,263, ,39º 26.502 N,73º 40.582 W,2.3,146,6.7,0.0,45,1014.6,16.8,3.3,0.0,24.8
2023-05-20T19:45:33-04:00,8.3,182,P93,5.0,275, ,39º 25.398 N,73º 52.420 W,2.2,146,6.8,0.1,18,1013.4,16.8,0.3,0.0,20.3
2023-05-20T21:30:44-04:00,9.4,220,P68,4.3,288, ,39º 26.166 N,74º 03.743 W,1.9,143,6.9,0.2,19,1013.0,16.5,0.0,0.0,16.8
2023-05-20T22:11:06-04:00,9.1,230,P71,4.0,301, ,39º 27.046 N,74º 07.346 W,1.8,142,6.9,0.1,16,1012.8,16.3,0.0,0.0,15.6
2023-05-20T23:54:25-04:00,8.2,252,S50,3.3,202, ,39º 30.537 N,74º 14.949 W,1.3,138,7.0,0.0,277,1012.3,16.5,0.0,0.0,12.7
