,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-05-18T15:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T15:00:00-04:00,9.1,208,S55,3.8,153, ,41º 20.388 N,71º 23.849 W,2.0,181,5.8,0.1,189,1027.1,49.7,0.0,0.0,20.0
2023-05-18T17:44:14-04:00,9.6,210,S57,3.6,153, ,41º 11.136 N,71º 17.570 W,2.3,188,5.4,0.0,257,1027.3,50.7,0.0,0.0,16.6
2023-05-18T20:36:49-04:00,9.9,197,P50,3.8,247, ,41º 01.885 N,71º 11.291 W,2.3,186,5.4,0.1,211,1028.3,51.3,0.0,0.0,15.9
2023-05-18T23:24:05-04:00,9.0,184,P65,4.5,249, ,40º 57.758 N,71º 24.137 W,2.3,183,5.0,0.2,224,1029.5,52.4,0.0,0.0,14.6
2023-05-19T01:13:23-04:00,10.4,184,P73,6.0,256, ,40º 54.772 N,71º 34.221 W,2.2,177,4.9,0.1,278,1029.1,52.5,0.0,0.0,13.5
2023-05-19T02:49:58-04:00,11.8,178,P84,7.4,262, ,40º 52.517 N,71º 46.551 W,2.2,172,4.7,0.1,52,1029.0,52.7,0.0,0.0,13.7
2023-05-19T04:43:55-04:00,11.7,174,P88,7.7,262, ,40º 50.527 N,72º 04.925 W,2.3,166,4.5,0.1,59,1029.0,53.2,0.0,0.0,14.0
2023-05-19T06:32:53-04:00,12.3,173,P89,8.0,262, ,40º 48.538 N,72º 23.299 W,2.4,163,4.3,0.0,11,1029.4,53.8,0.0,0.0,14.4
2023-05-19T08:18:03-04:00,11.4,167,P77,6.4,244, ,40º 46.548 N,72º 41.673 W,2.6,162,4.3,0.2,69,1029.8,55.3,0.0,0.0,15.3
2023-05-19T10:51:58-04:00,13.7,172,P87,9.2,259, ,40º 39.277 N,73º 00.977 W,2.7,159,4.5,,,1029.7,56.0,0.0,0.0,14.0
2023-05-19T12:10:38-04:00,14.7,173,P92,9.6,265, ,40º 36.890 N,73º 16.489 W,2.7,156,4.4,,,1028.9,56.7,0.0,0.0,14.9
2023-05-19T12:30:06-04:00,14.2,173,S155,5.8,18, ,40º 36.619 N,73º 20.583 W,2.5,156,4.4,,,1028.7,56.9,0.0,0.0,14.8
2023-05-19T12:42:34-04:00,13.6,174,P24,2.2,198, ,40º 37.770 N,73º 20.092 W,2.5,156,4.4,,,1028.6,57.5,0.0,0.0,15.4
