,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,13.8,207,S56,5.4,151, ,41º 20.388 N,71º 23.849 W,2.1,185,5.5,0.1,127,1027.2,49.9,0.0,0.0,19.5
2023-05-18T17:56:49-04:00,11.8,206,S55,4.2,151, ,41º 11.206 N,71º 17.114 W,2.3,188,5.5,0.1,244,1027.6,50.2,0.0,0.0,16.1
2023-05-18T20:26:23-04:00,11.5,199,P52,4.8,250, ,41º 02.025 N,71º 10.379 W,2.2,183,5.6,0.1,191,1028.2,50.5,0.0,0.0,15.4
2023-05-18T22:56:44-04:00,12.1,187,P65,5.5,251, ,40º 57.907 N,71º 25.493 W,2.2,178,5.2,0.1,204,1029.3,51.3,0.0,0.0,15.9
2023-05-19T00:28:30-04:00,11.1,182,P69,5.4,251, ,40º 55.213 N,71º 36.022 W,2.1,173,5.1,0.1,52,1029.1,51.9,0.0,0.0,14.4
2023-05-19T02:02:25-04:00,10.5,178,P83,6.1,261, ,40º 52.517 N,71º 46.551 W,2.0,168,5.1,0.1,52,1028.9,52.4,0.0,0.0,13.5
2023-05-19T03:52:20-04:00,10.6,184,P77,5.6,261, ,40º 50.752 N,72º 01.135 W,2.0,165,4.9,0.2,64,1029.0,52.9,0.0,0.0,13.6
2023-05-19T05:51:35-04:00,10.4,184,P77,6.0,261, ,40º 48.986 N,72º 15.719 W,2.0,163,4.7,0.1,58,1029.2,53.3,0.0,0.0,13.0
2023-05-19T07:42:36-04:00,11.0,178,P88,6.7,266, ,40º 47.221 N,72º 30.303 W,2.1,162,4.4,0.1,43,1029.4,54.3,0.0,0.0,13.8
2023-05-19T09:00:13-04:00,9.2,175,P74,4.8,248, ,40º 46.548 N,72º 41.673 W,2.1,161,4.3,0.2,65,1029.4,55.9,0.0,0.0,14.6
2023-05-19T11:04:59-04:00,9.3,170,P76,5.7,246, ,40º 42.851 N,72º 54.050 W,2.0,161,4.2,,,1029.2,56.4,0.0,0.0,13.0
2023-05-19T12:48:57-04:00,12.4,172,P80,7.3,252, ,40º 38.865 N,73º 05.983 W,2.4,160,4.2,,,1028.2,58.0,0.0,0.0,17.4
2023-05-19T13:15:52-04:00,13.1,173,P88,8.9,261, ,40º 37.873 N,73º 10.101 W,2.6,160,4.2,,,1027.9,58.1,0.0,0.0,17.9
2023-05-19T14:10:15-04:00,14.3,174,S156,5.8,18, ,40º 36.619 N,73º 20.583 W,2.5,161,4.1,,,1027.4,58.3,0.0,0.0,18.6
2023-05-19T14:22:43-04:00,13.6,174,P24,2.1,198, ,40º 37.770 N,73º 20.092 W,2.4,161,4.1,,,1027.3,58.8,0.0,0.0,18.9
2023-05-19T14:56:55-04:00,13.3,174,S78,6.8,96, ,40º 36.619 N,73º 20.583 W,2.4,160,4.1,,,1027.1,58.2,0.0,0.0,17.3
2023-05-19T17:08:17-04:00,11.9,165,S63,4.9,102, ,40º 34.953 N,73º 01.118 W,2.7,158,4.4,0.2,58,1026.5,57.4,0.0,0.0,14.7
2023-05-19T19:22:33-04:00,12.2,159,S57,4.3,102, ,40º 32.659 N,72º 46.894 W,2.7,155,4.5,0.2,29,1026.3,57.3,0.0,0.0,15.1
2023-05-19T21:55:16-04:00,11.4,155,P53,4.2,208, ,40º 30.366 N,72º 32.670 W,2.7,150,4.8,0.1,344,1026.1,57.5,0.0,0.0,13.9
2023-05-20T01:36:49-04:00,11.0,148,P53,4.3,201, ,40º 16.712 N,72º 42.196 W,3.1,144,5.4,0.2,357,1024.2,58.0,0.0,0.0,13.4
2023-05-20T05:11:45-04:00,12.5,137,P58,5.1,195, ,40º 02.327 N,72º 49.476 W,3.7,139,5.9,0.3,355,1022.8,59.1,0.0,0.0,15.4
2023-05-20T06:40:14-04:00,14.4,135,P57,5.5,192, ,39º 55.130 N,72º 51.981 W,4.1,136,5.9,0.3,352,1022.7,59.7,0.0,0.0,17.8
2023-05-20T08:25:09-04:00,15.8,134,P54,5.5,188, ,39º 45.771 N,72º 54.557 W,4.4,134,5.9,0.3,348,1022.5,60.1,0.0,0.0,19.6
