,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,14.1,206,S54,5.7,152, ,41º 20.388 N,71º 23.849 W,2.1,185,5.5,0.1,127,1026.8,53.0,0.0,0.0,14.1
2023-05-18T17:46:01-04:00,15.6,207,S55,5.2,152, ,41º 11.497 N,71º 17.558 W,2.3,187,5.5,0.1,242,1027.5,51.9,0.0,0.0,15.6
2023-05-18T19:42:19-04:00,14.5,197,P51,5.3,248, ,41º 02.605 N,71º 11.267 W,2.2,183,5.7,0.1,182,1028.4,51.6,0.0,0.0,14.5
2023-05-18T21:50:17-04:00,14.4,195,P55,5.5,250, ,40º 58.338 N,71º 25.025 W,2.2,179,5.4,0.1,200,1029.3,52.0,0.0,0.0,14.6
2023-05-18T23:24:21-04:00,14.0,192,P58,5.5,250, ,40º 55.427 N,71º 35.788 W,2.2,175,5.2,0.1,55,1029.7,52.2,0.0,0.0,14.5
2023-05-19T00:57:53-04:00,13.5,191,P71,6.6,261, ,40º 52.517 N,71º 46.551 W,2.1,170,5.1,0.1,52,1029.4,52.5,0.0,0.0,13.8
2023-05-19T02:37:47-04:00,12.7,190,P71,6.1,261, ,40º 50.799 N,72º 00.830 W,2.0,165,5.0,0.2,65,1029.1,52.6,0.0,0.0,13.1
2023-05-19T04:26:14-04:00,10.8,188,P73,5.9,261, ,40º 49.080 N,72º 15.110 W,1.9,163,4.8,0.1,61,1028.7,51.7,0.0,0.0,12.4
2023-05-19T06:16:41-04:00,11.8,184,P82,7.0,265, ,40º 47.362 N,72º 29.390 W,2.0,162,4.5,0.1,39,1028.9,53.2,0.0,0.0,12.8
2023-05-19T07:37:10-04:00,11.7,181,P66,5.4,247, ,40º 46.548 N,72º 41.673 W,2.1,161,4.3,0.2,65,1029.1,54.2,0.0,0.0,12.9
2023-05-19T09:28:37-04:00,11.2,180,P67,5.3,247, ,40º 42.706 N,72º 53.828 W,1.9,161,4.1,0.2,64,1029.0,56.0,0.0,0.0,12.6
2023-05-19T11:22:35-04:00,11.1,178,P75,6.1,252, ,40º 38.865 N,73º 05.983 W,2.3,159,4.3,,,1028.5,57.7,0.0,0.0,13.0
2023-05-19T11:55:04-04:00,11.2,175,P86,7.2,261, ,40º 37.873 N,73º 10.101 W,2.5,159,4.3,,,1028.1,58.0,0.0,0.0,13.4
2023-05-19T13:01:45-04:00,11.7,168,S150,5.0,18, ,40º 36.619 N,73º 20.583 W,2.4,159,4.1,,,1027.1,58.4,0.0,0.0,14.4
2023-05-19T13:16:08-04:00,11.6,168,P30,2.4,198, ,40º 37.770 N,73º 20.092 W,2.4,160,4.1,,,1026.9,58.9,0.0,0.0,14.5
2023-05-19T13:46:25-04:00,11.9,165,S63,4.8,102, ,40º 36.619 N,73º 20.583 W,2.5,160,4.1,,,1026.5,58.7,0.0,0.0,15.0
2023-05-19T16:42:40-04:00,14.2,150,P51,5.4,201, ,40º 33.661 N,73º 02.522 W,2.7,158,4.4,0.2,61,1024.6,58.2,0.0,0.0,18.3
2023-05-19T19:00:26-04:00,14.5,145,P55,4.9,201, ,40º 22.009 N,73º 08.351 W,2.8,152,4.6,0.1,1,1023.7,58.0,0.0,0.0,20.6
2023-05-19T21:33:00-04:00,11.0,153,S53,3.6,101, ,40º 10.358 N,73º 14.179 W,3.0,146,5.0,0.2,9,1022.6,58.0,0.0,0.0,17.2
2023-05-20T00:41:16-04:00,9.4,149,P49,4.8,197, ,40º 08.279 N,72º 59.722 W,3.2,143,5.5,0.1,2,1020.5,58.1,0.0,0.0,15.8
2023-05-20T03:50:52-04:00,12.0,108,P74,7.6,181, ,39º 53.745 N,73º 05.644 W,3.6,139,6.0,0.1,4,1016.7,57.7,0.5,0.0,19.0
2023-05-20T05:44:00-04:00,14.5,119,P74,6.5,193, ,39º 39.332 N,73º 06.116 W,4.0,135,6.1,0.1,346,1014.4,58.6,1.2,0.0,24.9
2023-05-20T06:48:04-04:00,15.8,150,S57,7.2,93, ,39º 32.566 N,73º 08.153 W,4.2,133,6.1,0.1,320,1013.6,59.4,1.5,0.0,29.6
2023-05-20T08:21:56-04:00,17.2,176,P90,9.7,266, ,39º 31.929 N,72º 53.648 W,4.4,132,6.0,0.1,288,1013.3,60.1,1.8,0.0,32.0
2023-05-20T08:56:41-04:00,16.0,188,P89,8.4,277, ,39º 31.527 N,73º 00.925 W,4.4,132,6.0,0.1,309,1013.2,59.9,2.3,0.0,28.4
2023-05-20T10:09:32-04:00,10.7,288,S90,7.0,198, ,39º 32.734 N,73º 14.049 W,4.4,132,5.9,0.1,349,1013.3,58.7,3.3,0.0,18.3
2023-05-20T10:19:56-04:00,10.1,329,S85,6.0,244, ,39º 31.583 N,73º 14.540 W,4.4,131,6.0,0.1,352,1013.4,58.5,3.3,0.0,17.3
2023-05-20T11:15:32-04:00,7.8,357,S98,4.6,259, ,39º 29.159 N,73º 20.975 W,4.5,131,6.0,0.1,14,1013.5,58.2,3.3,0.0,11.4
2023-05-20T12:30:35-04:00,6.6,11,S100,3.8,271, ,39º 28.037 N,73º 28.275 W,4.5,131,6.0,0.1,10,1013.1,58.3,2.5,0.0,8.2
2023-05-20T14:38:16-04:00,5.1,350,S102,2.8,248, ,39º 28.224 N,73º 38.710 W,4.7,132,6.0,0.1,16,1012.9,59.3,1.5,0.0,5.5
2023-05-20T16:41:52-04:00,3.8,297,S86,2.4,211, ,39º 26.090 N,73º 45.589 W,5.0,136,5.9,0.1,3,1013.2,60.6,0.2,0.0,4.0
2023-05-20T17:53:24-04:00,4.1,320,S76,2.8,245, ,39º 23.648 N,73º 47.484 W,5.5,140,5.9,0.1,5,1013.6,60.7,0.0,0.0,4.3
2023-05-20T19:26:28-04:00,5.4,8,S109,4.0,259, ,39º 21.795 N,73º 52.538 W,6.1,146,5.8,0.1,18,1014.3,61.4,0.0,0.0,5.5
2023-05-20T22:50:34-04:00,8.9,344,S89,6.3,255, ,39º 19.128 N,74º 09.875 W,6.9,152,6.0,0.2,31,1016.3,60.8,0.0,0.0,12.3
2023-05-21T00:28:36-04:00,10.0,350,S89,6.3,261, ,39º 16.442 N,74º 22.673 W,6.3,151,6.1,0.1,41,1016.9,58.9,0.0,0.0,16.6
2023-05-21T02:07:40-04:00,7.6,352,P139,4.9,130, ,39º 14.768 N,74º 35.893 W,4.9,146,6.3,0.1,10,1017.6,55.9,0.0,0.0,16.2
2023-05-21T04:59:12-04:00,12.2,351,P149,5.1,140, ,39º 05.773 N,74º 22.115 W,6.1,142,6.8,0.1,33,1017.8,56.7,0.0,0.0,15.6
2023-05-21T06:57:25-04:00,10.9,349,S151,4.7,198, ,38º 58.099 N,74º 13.741 W,6.4,141,6.9,0.1,50,1018.7,56.9,0.0,0.0,12.0
2023-05-21T07:28:39-04:00,10.8,348,P154,4.5,142, ,38º 55.796 N,74º 14.724 W,6.3,140,7.0,0.1,46,1018.9,57.0,0.0,0.0,11.4
2023-05-21T08:05:12-04:00,10.6,347,S152,4.5,196, ,38º 53.625 N,74º 12.526 W,6.3,139,7.0,0.0,87,1019.1,57.0,0.0,0.0,10.8
2023-05-21T09:59:54-04:00,11.0,353,P153,4.4,145, ,38º 45.277 N,74º 15.523 W,6.2,136,7.0,0.0,286,1019.1,57.2,0.0,0.0,11.2
2023-05-21T12:22:47-04:00,7.7,1,P144,2.4,145, ,38º 36.596 N,74º 07.863 W,6.1,134,7.0,0.0,347,1018.7,58.1,0.0,0.0,8.3
2023-05-21T16:45:49-04:00,1.7,51,P102,0.9,152, ,38º 27.915 N,74º 00.203 W,5.4,133,7.0,0.0,227,1017.5,58.9,0.0,0.0,2.0
2023-05-21T19:54:56-04:00,1.4,41,P165,1.1,205, ,38º 25.313 N,73º 58.472 W,5.0,130,7.0,0.1,226,1017.6,59.5,0.0,0.0,1.8
