,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,15.4,214,P64,6.8,278, ,41º 20.388 N,71º 23.849 W,2.1,185,5.5,0.1,127,1027.2,49.9,0.0,0.0,19.5
2023-05-18T16:09:08-04:00,15.3,221,S54,5.4,167, ,41º 20.537 N,71º 25.207 W,2.1,185,5.4,0.1,122,1027.2,50.0,0.0,0.0,19.4
2023-05-18T16:40:12-04:00,17.0,211,S55,5.9,156, ,41º 17.795 N,71º 24.388 W,2.2,188,5.3,0.1,127,1027.3,49.7,0.0,0.0,19.8
2023-05-18T18:31:49-04:00,16.0,213,S57,5.8,156, ,41º 07.753 N,71º 18.589 W,2.2,185,5.6,0.1,144,1027.7,50.3,0.0,0.0,16.0
2023-05-18T20:24:58-04:00,15.2,207,P52,7.0,258, ,40º 57.710 N,71º 12.790 W,2.2,180,5.8,0.2,216,1028.3,50.4,0.0,0.0,15.2
2023-05-18T22:13:14-04:00,15.4,191,P67,7.5,258, ,40º 55.184 N,71º 29.214 W,2.2,176,5.4,0.1,223,1028.9,51.3,0.0,0.0,15.4
2023-05-19T00:00:00-04:00,15.9,189,P70,7.6,259, ,40º 52.517 N,71º 46.551 W,2.1,172,5.2,0.1,53,1029.0,52.0,0.0,0.0,15.9
2023-05-19T01:34:23-04:00,15.4,187,P72,7.5,259, ,40º 50.131 N,72º 02.063 W,2.0,166,5.0,0.2,66,1028.8,52.5,0.0,0.0,15.4
2023-05-19T03:10:24-04:00,14.7,189,P69,6.6,259, ,40º 47.745 N,72º 17.575 W,2.0,163,4.8,0.1,50,1028.8,53.0,0.0,0.0,14.7
2023-05-19T04:58:47-04:00,12.1,193,P88,7.4,280, ,40º 45.359 N,72º 33.088 W,2.0,162,4.5,0.1,52,1028.9,53.4,0.0,0.0,13.1
2023-05-19T05:52:12-04:00,10.5,191,S60,4.2,131, ,40º 46.548 N,72º 41.673 W,2.0,161,4.4,0.2,65,1029.0,53.0,0.0,0.0,13.0
2023-05-19T06:04:46-04:00,11.2,190,P59,4.9,249, ,40º 45.968 N,72º 40.784 W,2.0,161,4.4,0.2,64,1029.0,53.4,0.0,0.0,13.1
2023-05-19T08:17:17-04:00,12.2,182,P67,6.4,249, ,40º 42.131 N,72º 54.074 W,2.0,161,4.0,,,1029.2,55.4,0.0,0.0,13.8
2023-05-19T09:58:07-04:00,14.4,177,P83,9.1,261, ,40º 38.294 N,73º 07.364 W,2.4,159,4.2,,,1029.0,56.9,0.0,0.0,15.2
2023-05-19T11:05:03-04:00,14.9,172,S154,6.2,18, ,40º 36.619 N,73º 20.583 W,2.2,157,4.2,,,1028.9,57.2,0.0,0.0,14.9
2023-05-19T11:16:47-04:00,15.2,172,P33,3.3,205, ,40º 37.770 N,73º 20.092 W,2.2,158,4.1,,,1028.8,57.8,0.0,0.0,15.2
