,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,13.9,209,S56,5.6,153, ,41º 20.388 N,71º 23.849 W,2.1,185,5.5,0.1,127,1026.8,53.0,0.0,0.0,13.9
2023-05-18T18:01:35-04:00,14.4,208,S55,5.3,153, ,41º 10.340 N,71º 16.915 W,2.3,187,5.6,0.0,219,1027.6,51.9,0.0,0.0,15.3
2023-05-18T20:09:09-04:00,15.2,202,P49,5.2,251, ,41º 00.293 N,71º 09.981 W,2.2,182,5.7,0.1,205,1028.7,51.5,0.0,0.0,15.2
2023-05-18T23:07:34-04:00,14.4,199,P60,6.4,258, ,40º 55.184 N,71º 29.214 W,2.2,176,5.2,0.1,224,1029.8,51.9,0.0,0.0,14.4
2023-05-19T01:13:31-04:00,14.6,196,P64,6.9,260, ,40º 52.517 N,71º 46.551 W,2.1,170,5.1,0.1,52,1029.4,52.5,0.0,0.0,14.6
2023-05-19T02:47:55-04:00,14.3,193,P67,6.5,260, ,40º 50.702 N,72º 00.683 W,2.0,165,4.9,0.2,64,1029.1,52.6,0.0,0.0,14.3
2023-05-19T04:27:38-04:00,14.2,197,P63,6.0,260, ,40º 48.887 N,72º 14.815 W,1.9,163,4.8,0.1,62,1028.7,51.8,0.0,0.0,14.2
2023-05-19T06:16:25-04:00,11.9,194,P73,5.7,267, ,40º 47.072 N,72º 28.945 W,2.0,162,4.5,0.1,43,1028.9,53.2,0.0,0.0,12.7
2023-05-19T07:57:12-04:00,9.6,188,P59,4.6,247, ,40º 46.548 N,72º 41.673 W,2.1,161,4.3,0.2,65,1029.1,54.4,0.0,0.0,13.0
2023-05-19T09:50:22-04:00,11.6,177,P76,6.5,252, ,40º 43.132 N,72º 52.225 W,1.9,161,4.1,0.2,64,1029.0,56.1,0.0,0.0,12.8
2023-05-19T10:20:31-04:00,12.7,174,P72,7.1,247, ,40º 42.140 N,72º 56.344 W,2.0,161,4.2,,,1028.9,56.7,0.0,0.0,12.7
2023-05-19T11:18:17-04:00,14.6,170,P85,9.0,252, ,40º 39.436 N,73º 04.603 W,2.3,159,4.2,,,1028.6,57.7,0.0,0.0,14.6
2023-05-19T12:17:49-04:00,15.6,165,P100,9.4,265, ,40º 36.890 N,73º 16.489 W,2.4,158,4.2,,,1027.7,58.2,0.0,0.0,15.6
2023-05-19T12:37:42-04:00,15.8,164,S146,6.7,18, ,40º 36.619 N,73º 20.583 W,2.4,159,4.1,,,1027.4,58.3,0.0,0.0,15.8
2023-05-19T12:48:36-04:00,15.9,164,P34,3.4,198, ,40º 37.770 N,73º 20.092 W,2.3,160,4.1,,,1027.2,58.7,0.0,0.0,15.9
2023-05-19T13:09:49-04:00,16.1,163,S59,5.9,104, ,40º 36.619 N,73º 20.583 W,2.4,160,4.1,,,1027.0,58.5,0.0,0.0,16.1
2023-05-19T15:27:49-04:00,15.6,161,S57,5.7,104, ,40º 33.424 N,73º 03.286 W,2.7,158,4.4,0.2,63,1025.6,57.8,0.0,0.0,16.3
2023-05-19T17:51:24-04:00,14.4,162,S59,5.6,104, ,40º 30.229 N,72º 45.990 W,2.6,155,4.4,0.1,1,1024.3,57.2,0.0,0.0,20.4
2023-05-19T20:15:12-04:00,15.7,158,P52,5.0,210, ,40º 27.034 N,72º 28.694 W,2.6,151,4.7,0.1,6,1023.8,57.1,0.0,0.0,20.7
2023-05-19T22:25:24-04:00,14.4,162,S56,5.2,106, ,40º 17.694 N,72º 35.808 W,2.9,146,5.0,0.2,2,1022.7,57.5,0.0,0.0,17.3
2023-05-20T00:12:26-04:00,13.3,163,S57,4.7,106, ,40º 15.195 N,72º 24.088 W,3.0,144,5.2,0.2,338,1021.4,57.2,0.0,0.0,17.7
2023-05-20T02:11:43-04:00,12.3,158,P53,3.8,211, ,40º 12.695 N,72º 12.367 W,3.4,142,5.3,0.2,338,1019.6,56.8,0.0,0.0,19.0
2023-05-20T05:19:14-04:00,10.3,155,P64,5.2,220, ,40º 02.495 N,72º 20.418 W,4.0,139,5.7,0.2,320,1016.0,57.5,0.9,0.0,23.6
2023-05-20T07:08:48-04:00,11.4,143,P77,6.6,220, ,39º 55.176 N,72º 28.375 W,4.3,136,5.8,0.2,295,1014.4,59.0,1.4,0.0,29.2
2023-05-20T10:13:38-04:00,9.3,128,P92,5.8,220, ,39º 39.678 N,72º 45.224 W,4.5,133,6.0,0.2,284,1012.9,59.6,3.2,0.0,26.7
2023-05-20T11:58:52-04:00,8.3,134,P111,4.9,245, ,39º 31.929 N,72º 53.648 W,4.7,132,6.0,0.1,287,1012.9,59.3,3.1,0.0,19.0
2023-05-20T14:09:12-04:00,8.6,126,P133,5.2,259, ,39º 27.512 N,73º 06.049 W,4.9,132,6.0,0.1,304,1012.5,58.0,1.8,0.0,8.6
2023-05-20T15:48:26-04:00,10.2,150,P109,6.3,259, ,39º 25.828 N,73º 16.999 W,5.1,135,6.0,0.0,11,1012.8,58.3,0.6,0.0,10.2
2023-05-20T19:15:49-04:00,13.0,154,P105,8.5,259, ,39º 21.336 N,73º 46.198 W,6.0,145,5.9,0.1,11,1014.2,60.9,0.0,0.0,13.0
2023-05-20T21:07:49-04:00,14.9,158,P101,9.0,259, ,39º 18.108 N,74º 07.185 W,6.7,151,5.8,0.2,32,1015.2,61.7,0.0,0.0,14.9
2023-05-20T22:53:53-04:00,13.5,167,P101,8.1,268, ,39º 15.020 N,74º 27.259 W,6.1,151,5.9,0.1,27,1016.4,60.2,0.0,0.0,15.2
2023-05-20T23:43:16-04:00,10.6,175,S45,3.7,130, ,39º 14.768 N,74º 35.893 W,5.2,149,6.0,0.0,7,1016.8,57.9,0.0,0.0,17.3
