,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,12.9,207,S56,5.3,151, ,41º 20.388 N,71º 23.849 W,2.1,185,5.5,0.1,127,1027.2,49.9,0.0,0.0,19.5
2023-05-18T17:59:43-04:00,12.7,206,S55,4.4,151, ,41º 11.206 N,71º 17.114 W,2.3,188,5.5,0.1,244,1027.6,50.2,0.0,0.0,16.1
2023-05-18T20:22:18-04:00,11.9,197,P50,4.9,247, ,41º 02.025 N,71º 10.379 W,2.2,183,5.6,0.1,191,1028.2,50.4,0.0,0.0,15.4
2023-05-18T22:55:13-04:00,12.6,188,P63,5.6,252, ,40º 57.187 N,71º 25.517 W,2.2,178,5.2,0.1,212,1029.3,51.3,0.0,0.0,15.8
2023-05-18T23:58:15-04:00,11.3,187,P68,5.4,255, ,40º 55.343 N,71º 32.840 W,2.2,174,5.2,0.0,79,1029.1,51.8,0.0,0.0,14.8
2023-05-19T01:57:25-04:00,10.7,184,P76,5.3,260, ,40º 52.517 N,71º 46.551 W,2.1,168,5.1,0.1,51,1028.9,52.4,0.0,0.0,13.5
2023-05-19T04:40:03-04:00,9.8,188,P77,5.4,265, ,40º 50.000 N,72º 05.245 W,2.0,164,4.8,0.2,63,1029.0,52.9,0.0,0.0,13.4
2023-05-19T06:22:54-04:00,9.6,183,P76,5.7,259, ,40º 49.186 N,72º 17.528 W,1.9,163,4.6,0.1,50,1029.3,53.4,0.0,0.0,13.0
2023-05-19T08:07:28-04:00,10.7,178,P87,6.7,266, ,40º 47.221 N,72º 30.303 W,2.1,162,4.3,0.1,44,1029.5,54.4,0.0,0.0,13.8
2023-05-19T09:24:23-04:00,10.3,177,P71,5.2,248, ,40º 46.548 N,72º 41.673 W,2.1,161,4.3,0.2,64,1029.4,56.2,0.0,0.0,14.5
2023-05-19T11:13:35-04:00,10.5,175,P73,5.6,248, ,40º 42.992 N,72º 53.138 W,2.0,161,4.2,0.2,63,1029.2,56.5,0.0,0.0,13.2
2023-05-19T12:54:27-04:00,11.0,173,P79,6.5,252, ,40º 39.436 N,73º 04.603 W,2.4,160,4.2,,,1028.2,57.9,0.0,0.0,17.3
2023-05-19T13:55:22-04:00,11.4,172,P90,7.4,262, ,40º 37.452 N,73º 12.839 W,2.6,160,4.2,,,1027.6,58.2,0.0,0.0,18.7
2023-05-19T14:43:15-04:00,11.5,170,S152,4.9,18, ,40º 36.619 N,73º 20.583 W,2.5,160,4.1,,,1027.2,58.2,0.0,0.0,17.7
2023-05-19T14:58:10-04:00,11.2,171,P27,2.1,198, ,40º 37.770 N,73º 20.092 W,2.4,161,4.1,,,1027.1,58.8,0.0,0.0,17.9
2023-05-19T15:32:57-04:00,11.3,168,S67,5.0,102, ,40º 36.619 N,73º 20.583 W,2.4,160,4.1,,,1026.9,58.2,0.0,0.0,16.3
2023-05-19T17:52:08-04:00,11.6,160,S58,4.2,102, ,40º 34.251 N,73º 05.681 W,2.7,157,4.4,0.2,64,1026.3,57.8,0.0,0.0,14.9
2023-05-19T20:36:27-04:00,11.8,152,S50,3.6,102, ,40º 31.882 N,72º 50.778 W,2.7,153,4.6,0.2,29,1026.1,57.4,0.0,0.0,14.7
2023-05-19T23:49:16-04:00,11.1,151,P54,4.0,206, ,40º 29.514 N,72º 35.876 W,2.8,148,5.0,0.1,333,1025.5,57.7,0.0,0.0,13.6
2023-05-20T02:06:58-04:00,10.8,149,P56,4.6,206, ,40º 21.176 N,72º 41.141 W,3.1,145,5.4,0.2,3,1024.0,57.8,0.0,0.0,13.7
2023-05-20T04:07:06-04:00,12.4,139,P53,4.8,194, ,40º 12.837 N,72º 46.408 W,3.4,142,5.7,0.2,5,1023.3,58.5,0.0,0.0,14.5
2023-05-20T08:00:57-04:00,16.9,128,P63,6.2,190, ,39º 51.817 N,72º 52.543 W,4.3,135,5.8,0.3,351,1022.7,60.0,0.0,0.0,19.8
2023-05-20T09:41:06-04:00,17.2,132,P58,5.5,190, ,39º 41.592 N,72º 54.921 W,4.5,133,5.9,0.2,343,1022.1,60.4,0.0,0.0,20.0
2023-05-20T11:33:44-04:00,17.8,141,S62,6.5,79, ,39º 31.367 N,72º 57.298 W,4.6,132,6.0,0.1,297,1021.3,61.4,0.0,0.0,19.6
2023-05-20T12:00:06-04:00,18.0,143,P99,9.7,242, ,39º 31.929 N,72º 53.648 W,4.7,132,6.0,0.1,287,1021.1,61.5,0.0,0.0,19.4
2023-05-20T14:07:33-04:00,17.4,161,P93,9.9,254, ,39º 22.225 N,73º 17.117 W,4.9,132,6.1,0.0,310,1019.1,62.8,0.0,0.0,19.6
2023-05-20T14:56:40-04:00,15.9,166,P93,9.9,259, ,39º 19.960 N,73º 27.178 W,5.0,133,6.0,0.1,1,1018.1,62.8,0.0,0.0,20.8
2023-05-20T16:10:44-04:00,15.8,171,P96,9.8,266, ,39º 17.574 N,73º 42.689 W,5.1,136,6.0,0.0,6,1016.7,63.1,0.0,0.0,22.9
2023-05-20T20:25:37-04:00,13.0,182,S52,5.2,130, ,39º 14.768 N,74º 35.893 W,5.3,151,5.6,0.0,0,1013.5,65.0,0.1,0.0,27.9
2023-05-20T21:33:20-04:00,15.0,188,P50,4.8,238, ,39º 10.996 N,74º 30.115 W,6.2,150,5.8,0.1,16,1013.3,64.2,0.0,0.0,28.4
2023-05-20T22:09:57-04:00,13.5,193,S62,6.1,130, ,39º 09.424 N,74º 33.344 W,6.0,149,5.9,0.1,24,1013.1,64.2,0.0,0.0,25.8
2023-05-20T22:36:31-04:00,14.3,196,S47,5.2,148, ,39º 07.682 N,74º 30.677 W,6.4,149,6.0,0.1,25,1013.1,64.1,0.0,0.0,26.4
2023-05-21T01:10:30-04:00,14.2,215,S66,7.1,148, ,38º 56.330 N,74º 21.743 W,7.0,148,6.4,0.1,17,1011.9,63.5,4.9,0.1,23.3
2023-05-21T03:03:20-04:00,14.8,224,S75,8.6,148, ,38º 44.977 N,74º 12.808 W,7.3,146,6.6,0.0,324,1011.5,64.1,4.3,0.1,21.0
2023-05-21T06:04:21-04:00,13.2,254,S89,8.4,165, ,38º 22.272 N,73º 54.940 W,7.2,143,6.9,0.1,226,1011.8,64.5,3.0,0.1,18.6
2023-05-21T07:07:00-04:00,12.4,271,S95,8.0,176, ,38º 13.755 N,73º 52.042 W,7.1,141,7.0,0.2,204,1011.9,64.6,2.9,0.0,16.8
2023-05-21T07:36:08-04:00,12.0,278,P55,4.6,332, ,38º 09.862 N,73º 51.715 W,7.0,140,7.0,0.2,196,1012.0,65.0,2.6,0.0,16.2
2023-05-21T07:55:13-04:00,11.8,282,S62,5.3,221, ,38º 11.162 N,73º 52.580 W,6.9,140,7.0,0.2,198,1012.0,64.5,2.8,0.0,15.3
2023-05-21T10:03:52-04:00,10.4,292,S52,3.7,240, ,38º 02.552 N,74º 01.940 W,6.5,135,7.0,0.2,223,1012.5,64.2,0.9,0.0,17.4
