,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,10.5,204,P43,3.2,248, ,41º 20.388 N,71º 23.849 W,2.1,185,5.5,0.1,127,1027.2,49.9,0.0,0.0,19.5
2023-05-18T16:35:07-04:00,11.1,206,S54,4.6,152, ,41º 19.676 N,71º 26.143 W,2.1,187,5.2,0.1,117,1027.2,50.1,0.0,0.0,19.4
2023-05-18T18:58:54-04:00,12.8,209,S58,4.7,152, ,41º 09.990 N,71º 19.196 W,2.3,187,5.4,0.0,182,1027.7,50.5,0.0,0.0,16.1
2023-05-18T21:20:04-04:00,12.0,200,P51,4.6,251, ,41º 00.303 N,71º 12.251 W,2.2,182,5.5,0.1,197,1028.7,50.7,0.0,0.0,15.7
2023-05-19T00:07:23-04:00,11.7,191,P65,6.3,256, ,40º 56.045 N,71º 28.278 W,2.2,175,5.1,0.1,222,1029.2,51.7,0.0,0.0,15.0
2023-05-19T02:22:54-04:00,13.7,183,P79,7.5,262, ,40º 52.517 N,71º 46.551 W,2.0,168,5.0,0.1,51,1028.9,52.4,0.0,0.0,13.7
2023-05-19T04:15:17-04:00,11.2,179,P83,7.2,262, ,40º 50.527 N,72º 04.925 W,2.0,164,4.8,0.2,61,1029.0,52.8,0.0,0.0,13.3
2023-05-19T06:11:39-04:00,13.0,177,P85,8.2,262, ,40º 48.538 N,72º 23.299 W,1.9,163,4.5,0.1,48,1029.2,53.6,0.0,0.0,13.4
2023-05-19T07:54:26-04:00,12.5,170,P78,7.2,247, ,40º 46.548 N,72º 41.673 W,2.1,161,4.3,0.2,65,1029.3,55.1,0.0,0.0,14.7
2023-05-19T10:34:23-04:00,14.0,163,P91,9.4,254, ,40º 38.865 N,73º 05.983 W,2.3,159,4.2,,,1029.1,57.2,0.0,0.0,15.2
2023-05-19T11:04:15-04:00,14.8,163,P98,9.5,262, ,40º 37.592 N,73º 11.926 W,2.4,158,4.3,,,1029.0,57.4,0.0,0.0,14.8
2023-05-19T11:46:17-04:00,15.0,164,S146,6.6,18, ,40º 36.619 N,73º 20.583 W,2.3,158,4.2,,,1028.5,57.5,0.0,0.0,15.1
2023-05-19T11:57:14-04:00,14.6,165,P32,3.2,198, ,40º 37.770 N,73º 20.092 W,2.2,159,4.1,,,1028.5,58.1,0.0,0.0,15.9
2023-05-19T12:20:11-04:00,15.5,167,S64,6.9,102, ,40º 36.619 N,73º 20.583 W,2.3,158,4.1,,,1028.3,57.7,0.0,0.0,16.0
2023-05-19T14:08:39-04:00,18.5,167,S64,6.4,102, ,40º 33.958 N,73º 04.480 W,2.7,159,4.3,0.2,66,1027.6,57.4,0.0,0.0,18.5
2023-05-19T16:05:26-04:00,17.0,162,S60,5.9,102, ,40º 31.296 N,72º 48.376 W,2.6,157,4.4,0.1,19,1027.0,57.0,0.0,0.0,17.0
2023-05-19T18:13:48-04:00,15.3,156,P48,5.4,204, ,40º 28.634 N,72º 32.272 W,2.6,154,4.5,0.1,345,1026.5,57.2,0.0,0.0,15.3
2023-05-19T20:46:48-04:00,14.8,140,P63,7.1,204, ,40º 16.051 N,72º 39.494 W,2.8,147,4.9,0.2,352,1026.1,57.7,0.0,0.0,14.8
2023-05-19T22:42:35-04:00,14.6,125,P69,7.4,194, ,40º 03.469 N,72º 46.714 W,3.1,142,5.3,0.2,349,1025.8,58.4,0.0,0.0,14.6
2023-05-20T00:24:22-04:00,13.9,119,P72,7.0,191, ,39º 51.377 N,72º 50.742 W,3.4,140,5.6,0.2,337,1024.7,59.1,0.0,0.0,13.9
2023-05-20T01:19:47-04:00,13.3,115,P69,6.5,184, ,39º 45.041 N,72º 52.311 W,3.5,138,5.8,0.2,330,1024.1,59.3,0.0,0.0,13.3
2023-05-20T03:20:24-04:00,11.5,106,S155,4.9,310, ,39º 31.929 N,72º 53.648 W,3.9,135,6.1,0.1,264,1023.1,59.7,0.0,0.0,13.1
2023-05-20T03:42:11-04:00,11.7,108,P150,5.5,259, ,39º 33.089 N,72º 55.426 W,3.9,135,6.1,0.1,280,1022.9,59.6,0.0,0.0,13.3
2023-05-20T05:32:32-04:00,11.8,116,P137,5.6,253, ,39º 31.124 N,73º 08.201 W,4.0,134,6.2,0.1,312,1022.2,59.8,0.0,0.0,14.7
2023-05-20T09:08:45-04:00,12.3,97,P147,5.3,244, ,39º 25.173 N,73º 32.908 W,4.2,131,6.1,0.1,353,1021.6,61.4,0.0,0.0,17.1
2023-05-20T11:22:49-04:00,12.3,91,P153,5.3,244, ,39º 19.945 N,73º 46.697 W,4.3,130,6.1,0.1,3,1020.5,61.5,0.0,0.0,17.4
2023-05-20T13:36:56-04:00,11.3,106,P138,4.9,244, ,39º 14.717 N,74º 00.487 W,4.4,131,6.1,0.1,17,1018.6,62.3,0.1,0.0,18.0
2023-05-20T16:01:51-04:00,7.3,147,P112,4.2,259, ,39º 09.488 N,74º 14.276 W,5.0,137,5.9,0.2,39,1016.0,63.4,0.1,0.0,23.4
2023-05-20T17:04:04-04:00,5.4,190,P106,3.4,296, ,39º 08.647 N,74º 19.751 W,5.3,139,5.7,0.2,36,1014.8,63.9,0.1,0.0,26.2
2023-05-20T21:12:07-04:00,5.0,220,S85,3.4,135, ,39º 14.768 N,74º 35.893 W,5.3,150,5.7,0.0,2,1013.3,64.9,0.1,0.0,26.5
2023-05-20T23:20:49-04:00,6.0,244,S90,4.2,154, ,39º 09.695 N,74º 29.249 W,6.3,149,6.1,0.1,23,1012.8,63.8,0.1,0.0,25.4
2023-05-21T00:58:32-04:00,8.8,271,S109,5.3,163, ,39º 03.481 N,74º 25.367 W,6.7,149,6.3,0.1,23,1011.9,63.1,2.7,0.0,21.9
