,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,13.0,205,S54,5.2,150, ,41º 20.388 N,71º 23.849 W,2.1,185,5.4,0.1,182,1027.3,51.6,0.0,0.0,13.0
2023-05-18T17:54:23-04:00,13.9,205,S54,4.7,150, ,41º 11.712 N,71º 17.324 W,2.4,189,5.4,0.0,268,1027.8,50.8,0.0,0.0,13.9
2023-05-18T20:01:20-04:00,13.2,197,P53,5.0,249, ,41º 03.036 N,71º 10.799 W,2.3,186,5.4,0.1,206,1028.6,50.7,0.0,0.0,13.2
2023-05-18T22:09:46-04:00,12.6,191,P57,5.1,249, ,40º 59.199 N,71º 24.089 W,2.3,184,5.1,0.1,217,1029.5,51.2,0.0,0.0,13.2
2023-05-18T23:56:38-04:00,12.2,188,P61,5.1,249, ,40º 55.858 N,71º 35.320 W,2.3,180,5.0,0.0,330,1029.7,51.7,0.0,0.0,12.7
2023-05-19T01:43:25-04:00,11.6,186,P74,6.4,260, ,40º 52.517 N,71º 46.551 W,2.2,174,4.8,0.1,51,1029.5,52.0,0.0,0.0,11.9
2023-05-19T03:25:42-04:00,12.3,184,P79,7.0,263, ,40º 50.702 N,72º 00.683 W,2.3,169,4.6,0.1,58,1029.4,52.5,0.0,0.0,12.5
2023-05-19T04:56:54-04:00,11.6,181,P81,7.3,263, ,40º 49.462 N,72º 14.569 W,2.3,164,4.4,0.1,65,1029.4,51.7,0.0,0.0,13.3
2023-05-19T07:42:49-04:00,12.5,175,P72,6.3,246, ,40º 46.548 N,72º 41.673 W,2.6,163,4.3,0.2,70,1029.9,54.4,0.0,0.0,13.3
2023-05-19T10:26:05-04:00,11.2,174,P78,6.3,252, ,40º 39.857 N,73º 01.865 W,2.6,159,4.4,,,1029.6,57.2,0.0,0.0,12.1
2023-05-19T11:21:37-04:00,11.1,172,P89,7.1,261, ,40º 38.014 N,73º 09.189 W,2.8,157,4.5,,,1029.3,57.7,0.0,0.0,12.0
2023-05-19T12:35:15-04:00,11.1,164,S147,4.9,18, ,40º 36.619 N,73º 20.583 W,2.5,156,4.4,,,1028.5,58.5,0.0,0.0,12.3
2023-05-19T12:49:57-04:00,11.0,164,P34,2.5,198, ,40º 37.770 N,73º 20.092 W,2.5,156,4.3,,,1028.4,59.0,0.0,0.0,12.3
2023-05-19T13:18:36-04:00,11.1,161,S65,4.6,96, ,40º 36.619 N,73º 20.583 W,2.5,155,4.4,,,1028.1,58.9,0.0,0.0,12.4
2023-05-19T15:53:13-04:00,11.5,148,S59,4.7,89, ,40º 35.402 N,73º 05.189 W,2.8,154,4.4,0.2,66,1026.9,57.7,0.0,0.0,13.9
2023-05-19T17:07:34-04:00,11.7,144,P47,4.4,191, ,40º 35.514 N,72º 57.468 W,2.8,153,4.5,0.2,52,1026.3,57.3,0.0,0.0,14.9
2023-05-19T19:01:28-04:00,13.4,134,P57,4.9,191, ,40º 27.306 N,72º 59.552 W,2.9,148,4.8,0.1,29,1025.2,57.2,0.0,0.0,18.8
2023-05-19T22:03:01-04:00,10.8,144,S57,3.9,86, ,40º 12.763 N,73º 03.206 W,3.2,143,5.5,0.2,359,1023.9,57.3,0.0,0.0,16.7
2023-05-20T00:05:17-04:00,9.1,137,P61,4.0,198, ,40º 13.295 N,72º 52.748 W,3.4,143,5.8,0.1,348,1022.8,57.2,0.0,0.0,12.7
2023-05-20T00:42:03-04:00,9.3,128,P53,4.8,181, ,40º 10.993 N,72º 53.732 W,3.6,142,5.8,0.1,347,1022.3,57.2,0.0,0.0,12.8
2023-05-20T04:19:22-04:00,15.1,98,P78,8.0,176, ,39º 49.374 N,72º 54.439 W,4.5,137,6.2,0.2,350,1018.7,57.5,0.5,0.0,22.9
2023-05-20T05:41:51-04:00,16.7,110,P72,7.2,181, ,39º 38.415 N,72º 53.436 W,4.8,135,6.3,0.2,338,1017.5,58.2,0.9,0.0,27.0
2023-05-20T06:36:14-04:00,17.5,122,P101,9.6,223, ,39º 31.929 N,72º 53.648 W,5.0,134,6.3,0.1,303,1016.8,59.0,1.4,0.0,29.8
2023-05-20T07:32:31-04:00,19.0,130,P108,9.2,238, ,39º 25.331 N,73º 01.581 W,5.2,133,6.4,0.1,291,1016.0,59.8,2.0,0.0,33.2
2023-05-20T09:59:09-04:00,18.4,157,P94,9.8,252, ,39º 13.184 N,73º 26.945 W,6.3,136,6.5,0.1,2,1014.5,61.1,2.0,0.0,32.9
2023-05-20T10:51:48-04:00,16.3,166,P95,9.5,261, ,39º 10.489 N,73º 37.474 W,6.7,137,6.5,0.1,30,1014.2,60.9,0.8,0.0,29.4
2023-05-20T12:01:53-04:00,13.4,185,P96,6.0,282, ,39º 08.674 N,73º 51.605 W,7.0,139,6.5,0.1,1,1013.7,60.3,0.2,0.0,21.4
2023-05-20T13:59:56-04:00,10.5,256,S56,3.4,201, ,39º 11.042 N,74º 06.508 W,6.7,140,6.7,0.1,30,1013.3,60.9,0.1,0.0,14.3
2023-05-20T15:34:46-04:00,7.1,248,P63,2.7,310, ,39º 06.007 N,74º 08.942 W,6.9,141,6.8,0.1,29,1013.4,61.8,0.0,0.0,9.1
2023-05-20T17:05:50-04:00,3.5,208,P80,3.4,289, ,39º 08.618 N,74º 12.943 W,6.8,141,6.9,0.1,34,1013.4,62.8,0.0,0.0,4.1
2023-05-20T19:21:17-04:00,8.1,197,P93,5.4,289, ,39º 11.108 N,74º 22.394 W,6.2,141,6.8,0.1,34,1013.6,62.5,0.0,0.0,10.6
2023-05-20T21:23:19-04:00,7.2,225,S90,4.9,135, ,39º 14.768 N,74º 35.893 W,4.6,139,6.8,0.0,3,1014.0,63.2,0.1,0.0,10.7
2023-05-20T22:45:34-04:00,8.8,247,S89,5.7,159, ,39º 09.985 N,74º 29.693 W,5.4,138,6.9,0.1,24,1014.4,62.1,0.2,0.0,11.3
2023-05-21T00:12:19-04:00,9.6,268,S99,5.6,169, ,39º 02.329 N,74º 25.859 W,5.7,137,7.0,0.1,21,1014.5,61.8,0.3,0.0,13.3
2023-05-21T02:16:01-04:00,10.1,292,S122,5.7,170, ,38º 50.930 N,74º 23.054 W,5.9,134,7.1,0.1,14,1014.6,61.4,0.3,0.0,14.5
2023-05-21T03:47:48-04:00,14.3,316,S142,6.8,176, ,38º 42.273 N,74º 21.068 W,5.9,133,7.1,0.1,328,1015.1,59.9,0.1,0.0,18.9
2023-05-21T06:29:39-04:00,18.1,331,P159,6.2,130, ,38º 24.678 N,74º 18.920 W,5.8,133,7.1,0.0,166,1016.3,59.0,0.0,0.0,22.4
2023-05-21T08:01:16-04:00,16.2,336,P145,6.7,122, ,38º 18.584 N,74º 09.587 W,5.9,134,7.1,0.1,178,1017.2,58.5,0.0,0.0,19.9
2023-05-21T10:38:34-04:00,11.8,337,S90,7.5,248, ,38º 09.862 N,73º 51.715 W,5.9,134,6.9,0.2,198,1017.9,57.9,0.0,0.0,13.5
2023-05-21T12:10:53-04:00,9.9,338,S90,6.1,248, ,38º 05.449 N,74º 05.250 W,5.6,128,6.8,0.2,226,1018.0,58.4,0.0,0.0,11.9
2023-05-21T14:04:18-04:00,7.7,350,S87,5.0,263, ,38º 01.037 N,74º 18.787 W,5.3,123,6.8,0.1,242,1017.9,58.9,0.0,0.0,10.9
2023-05-21T15:09:08-04:00,6.6,12,S99,3.6,273, ,38º 00.344 N,74º 25.618 W,5.0,122,6.9,0.1,264,1017.5,59.4,0.0,0.0,9.1
2023-05-21T16:45:47-04:00,4.6,84,P137,2.5,221, ,38º 00.663 N,74º 32.870 W,4.7,122,7.0,0.1,294,1016.9,60.3,0.0,0.0,5.1
2023-05-21T17:53:04-04:00,4.5,130,P112,2.9,242, ,37º 58.510 N,74º 35.210 W,4.5,121,7.1,0.1,296,1017.1,60.4,0.0,0.0,4.7
2023-05-21T18:44:31-04:00,4.8,168,P91,3.1,259, ,37º 57.369 N,74º 37.972 W,4.4,120,7.1,0.0,288,1017.4,60.5,0.0,0.0,4.9
