,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,14.2,206,S57,5.6,149, ,41º 20.388 N,71º 23.849 W,2.1,185,5.4,0.1,182,1027.3,51.6,0.0,0.0,14.2
2023-05-18T17:35:48-04:00,13.6,206,S57,4.9,149, ,41º 12.722 N,71º 17.746 W,2.4,189,5.4,0.0,272,1027.7,50.8,0.0,0.0,13.9
2023-05-18T19:25:52-04:00,13.9,192,P52,5.2,245, ,41º 05.057 N,71º 11.641 W,2.3,187,5.5,0.1,162,1028.4,50.7,0.0,0.0,13.9
2023-05-18T22:14:20-04:00,13.4,187,P58,5.2,245, ,40º 58.787 N,71º 29.096 W,2.3,183,5.1,0.1,238,1029.5,51.5,0.0,0.0,13.4
2023-05-19T01:02:47-04:00,10.8,182,P76,6.2,259, ,40º 52.517 N,71º 46.551 W,2.3,175,4.9,0.1,52,1029.5,51.9,0.0,0.0,12.3
2023-05-19T02:45:27-04:00,11.2,180,P81,6.4,260, ,40º 50.412 N,72º 00.238 W,2.3,169,4.6,0.2,60,1029.4,52.4,0.0,0.0,12.2
2023-05-19T04:20:50-04:00,10.5,181,P83,6.0,264, ,40º 48.737 N,72º 13.457 W,2.3,164,4.5,0.1,70,1029.3,52.0,0.0,0.0,13.1
2023-05-19T08:09:30-04:00,7.2,175,P67,3.7,241, ,40º 46.548 N,72º 41.673 W,2.6,162,4.3,0.2,69,1029.9,54.6,0.0,0.0,13.2
2023-05-19T09:45:31-04:00,9.9,165,P85,6.2,249, ,40º 43.693 N,72º 48.576 W,2.5,162,4.4,0.2,68,1029.8,55.7,0.0,0.0,12.5
2023-05-19T12:43:26-04:00,9.8,156,P108,7.2,264, ,40º 37.442 N,73º 10.570 W,2.8,156,4.4,,,1028.6,58.3,0.0,0.0,12.2
2023-05-19T13:46:48-04:00,14.0,156,S138,6.4,18, ,40º 36.619 N,73º 20.583 W,2.5,155,4.3,,,1027.9,59.2,0.0,0.0,14.0
2023-05-19T13:58:11-04:00,12.2,154,P44,3.6,198, ,40º 37.770 N,73º 20.092 W,2.4,155,4.3,,,1027.8,59.7,0.0,0.0,12.4
2023-05-19T14:18:11-04:00,14.3,155,S61,5.9,94, ,40º 36.619 N,73º 20.583 W,2.5,154,4.3,,,1027.6,59.2,0.0,0.0,14.3
2023-05-19T16:17:49-04:00,14.1,151,S56,5.0,94, ,40º 35.762 N,73º 05.177 W,2.8,154,4.4,0.2,65,1026.7,57.8,0.0,0.0,14.2
2023-05-19T18:38:08-04:00,12.4,143,P51,4.5,195, ,40º 34.906 N,72º 49.771 W,2.8,152,4.7,0.2,49,1025.5,56.8,0.0,0.0,17.6
2023-05-19T21:53:04-04:00,13.3,137,P58,4.9,195, ,40º 20.655 N,72º 54.626 W,3.1,145,5.4,0.1,351,1024.0,57.3,0.0,0.0,17.0
2023-05-20T00:52:32-04:00,12.1,131,P64,4.8,195, ,40º 06.404 N,72º 59.480 W,3.7,141,5.9,0.1,338,1022.0,57.4,0.0,0.0,13.7
2023-05-20T03:54:51-04:00,10.8,129,P52,4.5,181, ,39º 52.154 N,73º 04.335 W,4.3,137,6.2,0.1,0,1019.0,57.5,0.5,0.0,20.9
2023-05-20T06:19:23-04:00,12.6,125,P57,4.5,181, ,39º 41.344 N,73º 04.688 W,4.7,134,6.3,0.0,0,1016.8,58.5,1.4,0.0,28.2
2023-05-20T08:13:40-04:00,16.2,122,S46,5.0,76, ,39º 32.696 N,73º 04.972 W,5.1,134,6.4,0.1,303,1015.6,59.9,2.5,0.0,34.9
2023-05-20T10:02:15-04:00,18.2,142,P40,4.9,181, ,39º 34.811 N,72º 53.554 W,5.9,135,6.3,0.1,332,1015.4,59.9,3.3,0.0,37.4
2023-05-20T10:37:22-04:00,18.2,147,P73,10.0,220, ,39º 31.929 N,72º 53.648 W,6.2,136,6.3,0.1,312,1015.2,60.2,3.4,0.0,38.7
2023-05-20T11:34:52-04:00,15.2,156,P77,9.6,234, ,39º 24.610 N,73º 01.604 W,6.8,138,6.5,0.1,291,1014.6,60.4,2.6,0.0,37.8
2023-05-20T12:46:46-04:00,11.3,158,P90,9.7,248, ,39º 17.741 N,73º 13.632 W,7.6,142,6.6,0.0,201,1013.9,60.1,1.6,0.0,32.9
2023-05-20T13:10:26-04:00,10.4,157,P102,8.9,259, ,39º 16.319 N,73º 18.218 W,7.8,143,6.6,0.0,185,1013.7,60.0,1.3,0.0,30.3
2023-05-20T14:08:49-04:00,9.2,150,P123,8.9,273, ,39º 14.635 N,73º 29.167 W,7.9,145,6.7,0.1,7,1013.4,59.6,0.6,0.0,23.2
2023-05-20T17:15:12-04:00,16.1,171,P88,6.0,259, ,39º 15.908 N,73º 58.178 W,7.2,144,6.8,0.1,23,1013.6,60.8,0.0,0.0,16.1
2023-05-20T18:48:43-04:00,14.9,180,P92,6.5,272, ,39º 14.083 N,74º 10.040 W,6.7,142,6.8,0.1,34,1013.6,61.3,0.0,0.0,14.9
2023-05-20T20:20:51-04:00,15.4,184,P88,6.6,272, ,39º 14.426 N,74º 22.966 W,6.0,141,6.8,0.1,37,1013.7,61.9,0.0,0.0,15.4
2023-05-20T21:51:32-04:00,10.8,193,S63,4.3,130, ,39º 14.768 N,74º 35.893 W,4.6,138,6.8,0.0,3,1014.2,63.0,0.1,0.0,11.0
2023-05-20T23:01:19-04:00,12.6,199,P39,4.4,238, ,39º 11.576 N,74º 31.004 W,5.2,138,6.9,0.1,24,1014.5,62.1,0.2,0.0,12.6
2023-05-20T23:42:05-04:00,11.7,203,S73,6.2,130, ,39º 10.004 N,74º 34.232 W,5.0,137,6.9,0.1,23,1014.5,62.1,0.2,0.0,12.6
2023-05-21T00:52:02-04:00,12.5,207,S66,5.6,140, ,39º 05.362 N,74º 27.121 W,5.6,137,7.0,0.1,21,1014.5,61.8,0.3,0.0,14.2
2023-05-21T02:00:13-04:00,12.3,211,S75,6.6,136, ,39º 00.439 N,74º 21.835 W,5.8,136,7.0,0.1,23,1014.4,61.6,0.4,0.0,14.4
2023-05-21T04:15:29-04:00,11.8,230,S100,7.7,130, ,38º 49.573 N,74º 08.573 W,6.1,136,7.1,0.0,76,1015.0,59.5,0.1,0.0,20.1
2023-05-21T04:54:17-04:00,11.8,232,S73,6.4,159, ,38º 46.381 N,74º 03.684 W,6.1,136,7.1,0.0,108,1015.1,59.3,0.0,0.0,22.8
2023-05-21T06:53:18-04:00,11.5,252,S92,7.0,159, ,38º 34.537 N,73º 57.943 W,6.2,136,7.1,0.0,221,1016.3,58.3,0.0,0.0,20.7
2023-05-21T08:41:15-04:00,11.1,272,S102,7.5,170, ,38º 22.693 N,73º 52.202 W,6.1,136,7.1,0.1,220,1017.2,58.1,0.0,0.0,17.3
2023-05-21T09:09:17-04:00,11.3,281,S99,8.5,181, ,38º 19.230 N,73º 51.409 W,6.1,135,7.0,0.1,187,1017.4,58.1,0.0,0.0,16.4
2023-05-21T10:15:23-04:00,11.8,296,S76,7.0,221, ,38º 09.862 N,73º 51.715 W,5.9,134,6.9,0.2,197,1017.8,58.1,0.0,0.0,14.3
2023-05-21T10:59:01-04:00,11.7,308,S80,5.2,228, ,38º 05.987 N,73º 55.927 W,5.8,132,6.9,0.2,220,1018.1,58.0,0.0,0.0,13.1
2023-05-21T13:38:15-04:00,6.7,272,P38,3.3,310, ,37º 56.816 N,74º 08.938 W,5.4,124,6.8,0.2,224,1017.9,58.8,0.0,0.0,11.1
2023-05-21T16:33:55-04:00,6.7,221,P67,3.7,288, ,38º 02.909 N,74º 18.271 W,4.9,123,7.0,0.1,241,1017.0,60.2,0.0,0.0,6.7
2023-05-21T19:29:34-04:00,6.7,188,P90,4.3,278, ,38º 06.278 N,74º 31.325 W,4.4,122,7.1,0.1,308,1017.6,60.8,0.0,0.0,6.7
2023-05-21T21:31:13-04:00,5.7,219,P80,2.4,300, ,38º 07.477 N,74º 42.181 W,4.0,121,7.1,0.0,318,1018.0,60.9,0.0,0.0,7.8
2023-05-21T22:50:47-04:00,4.6,271,S50,2.9,221, ,38º 09.077 N,74º 45.759 W,3.8,121,7.1,0.0,358,1018.3,61.0,0.0,0.0,8.3
2023-05-22T01:23:28-04:00,6.7,317,S82,4.4,234, ,38º 03.481 N,74º 51.844 W,3.6,119,7.1,0.1,5,1018.1,61.1,0.0,0.0,8.3
2023-05-22T03:06:37-04:00,6.9,326,S94,4.4,232, ,37º 59.045 N,74º 59.706 W,3.3,116,7.2,0.1,36,1018.3,61.0,0.0,0.0,9.5
2023-05-22T04:41:47-04:00,6.7,320,S99,4.3,221, ,37º 54.749 N,75º 06.656 W,3.2,114,7.2,0.0,315,1018.4,60.5,0.0,0.0,10.2
2023-05-22T05:21:07-04:00,7.3,326,S90,4.3,236, ,37º 52.597 N,75º 08.996 W,3.1,114,7.2,0.0,90,1018.6,60.4,0.0,0.0,10.4
2023-05-22T08:57:58-04:00,9.8,26,S142,5.1,244, ,37º 44.015 N,75º 25.165 W,2.6,106,6.9,0.1,90,1019.9,62.3,0.0,0.0,10.5
2023-05-22T10:19:06-04:00,13.8,40,P149,6.4,189, ,37º 41.020 N,75º 32.979 W,2.3,101,6.6,,,1020.2,64.5,0.0,0.0,13.8
2023-05-22T11:08:03-04:00,15.9,43,P152,6.7,196, ,37º 35.835 N,75º 34.057 W,2.4,98,6.4,0.2,173,1020.2,65.0,0.0,0.0,15.9
2023-05-22T11:46:44-04:00,14.4,47,S148,6.3,259, ,37º 31.661 N,75º 35.555 W,2.6,93,6.2,0.2,162,1020.2,65.5,0.0,0.0,14.4
2023-05-22T12:00:42-04:00,13.8,50,P132,7.3,181, ,37º 31.381 N,75º 37.380 W,2.6,90,6.0,0.2,156,1020.2,66.4,0.0,0.0,13.8
2023-05-22T12:30:08-04:00,14.1,52,P152,6.8,204, ,37º 27.777 N,75º 37.498 W,2.8,85,5.8,0.3,167,1020.2,66.0,0.0,0.0,14.1
2023-05-22T14:45:49-04:00,15.8,58,P158,6.2,216, ,37º 13.683 N,75º 45.223 W,2.6,70,4.5,0.2,160,1020.5,64.0,0.0,0.0,15.8
2023-05-22T16:30:03-04:00,15.3,61,S158,6.1,263, ,37º 04.923 N,75º 53.227 W,2.2,71,4.7,0.2,159,1020.6,65.7,0.0,0.0,16.3
2023-05-22T17:17:10-04:00,15.9,66,S148,6.8,278, ,37º 04.371 N,75º 59.146 W,2.3,65,4.0,0.1,193,1020.7,65.9,0.0,0.0,16.8
2023-05-22T17:26:52-04:00,16.2,67,P153,6.5,221, ,37º 04.521 N,76º 00.503 W,2.3,64,3.9,0.1,203,1020.8,65.9,0.0,0.0,16.8
2023-05-22T17:58:26-04:00,16.4,69,S152,6.4,278, ,37º 01.938 N,76º 03.311 W,2.7,65,4.1,0.1,234,1020.9,65.3,0.0,0.0,17.2
2023-05-22T18:08:41-04:00,16.6,71,P59,5.7,129, ,37º 02.088 N,76º 04.667 W,2.6,64,4.0,0.1,241,1020.9,65.3,0.0,0.0,17.2
2023-05-22T18:13:28-04:00,16.6,70,S54,5.5,16, ,37º 01.798 N,76º 04.223 W,2.7,64,4.0,0.1,239,1021.0,65.2,0.0,0.0,17.3
2023-05-22T19:48:41-04:00,15.8,72,P57,6.0,129, ,37º 10.146 N,76º 01.226 W,2.0,57,3.2,0.0,222,1021.5,63.8,0.0,0.0,17.5
2023-05-22T20:11:45-04:00,16.7,70,S103,9.1,327, ,37º 08.695 N,75º 59.004 W,2.1,59,3.5,0.1,196,1021.6,63.4,0.0,0.0,18.1
2023-05-22T20:36:44-04:00,14.5,73,S92,9.3,342, ,37º 11.877 N,76º 01.624 W,1.9,57,3.0,0.0,273,1021.8,63.4,0.0,0.0,18.2
2023-05-22T21:04:05-04:00,14.2,78,S88,9.4,350, ,37º 15.920 N,76º 03.307 W,1.8,56,2.7,0.1,297,1022.0,63.3,0.0,0.0,18.5
2023-05-22T21:26:37-04:00,14.4,82,S80,8.7,1, ,37º 19.383 N,76º 04.102 W,1.7,58,2.7,0.1,302,1022.1,63.4,0.0,0.0,19.0
2023-05-22T22:06:14-04:00,14.2,88,S80,8.2,8, ,37º 25.148 N,76º 03.913 W,1.6,60,2.6,0.1,308,1022.3,63.3,0.0,0.0,19.9
2023-05-22T23:42:25-04:00,14.2,92,S75,7.9,17, ,37º 38.401 N,76º 01.663 W,1.5,67,2.6,0.0,0,1022.9,62.3,0.0,0.0,21.4
2023-05-23T00:52:01-04:00,14.8,94,S92,9.7,1, ,37º 47.179 N,75º 58.198 W,1.5,75,2.5,0.0,270,1023.1,61.3,0.0,0.0,22.0
2023-05-23T01:05:23-04:00,14.7,94,P87,9.5,181, ,37º 49.341 N,75º 58.128 W,1.5,77,2.5,0.0,263,1023.2,61.1,0.0,0.0,22.1
2023-05-23T01:19:05-04:00,14.7,94,P127,7.8,221, ,37º 47.179 N,75º 58.198 W,1.5,75,2.5,0.0,274,1023.1,61.2,0.0,0.0,22.1
2023-05-23T01:23:28-04:00,14.8,94,S140,7.0,314, ,37º 46.748 N,75º 58.667 W,1.5,75,2.5,0.0,274,1023.1,61.2,0.0,0.0,22.1
2023-05-23T03:46:52-04:00,13.9,96,S147,6.2,310, ,37º 58.055 N,76º 13.730 W,1.4,80,2.6,,,1023.6,60.3,0.0,0.0,20.9
2023-05-23T04:52:38-04:00,12.7,94,P58,5.0,152, ,38º 02.407 N,76º 20.397 W,1.2,80,2.6,0.1,302,1023.9,59.4,0.0,0.0,19.7
2023-05-23T05:10:11-04:00,13.5,93,S62,5.0,31, ,38º 01.106 N,76º 19.532 W,1.3,78,2.6,0.1,300,1024.0,59.6,0.0,0.0,19.8
2023-05-23T06:52:26-04:00,13.0,81,P49,4.5,130, ,38º 08.434 N,76º 13.845 W,1.4,67,2.5,0.1,287,1025.1,59.4,0.0,0.0,20.2
2023-05-23T09:11:03-04:00,13.0,84,S44,3.8,41, ,38º 01.761 N,76º 03.622 W,1.2,53,2.3,0.0,29,1025.4,61.5,0.0,0.0,19.9
2023-05-23T09:46:24-04:00,12.5,88,P19,2.7,107, ,38º 03.482 N,76º 01.750 W,1.0,53,2.1,0.0,7,1025.5,62.5,0.0,0.0,19.5
2023-05-23T10:19:58-04:00,12.3,93,S80,7.1,12, ,38º 03.043 N,75º 59.949 W,0.9,53,2.1,0.0,10,1025.4,63.4,0.0,0.0,19.2
2023-05-23T10:36:09-04:00,11.6,94,S90,7.3,4, ,38º 04.915 N,75º 59.434 W,0.9,53,2.0,0.0,345,1025.4,64.0,0.0,0.0,18.8
2023-05-23T11:38:59-04:00,10.7,86,S136,5.3,310, ,38º 12.551 N,75º 58.730 W,0.8,58,1.9,0.1,282,1025.5,66.1,0.0,0.0,17.4
2023-05-23T12:09:53-04:00,10.1,89,P55,3.8,144, ,38º 14.292 N,76º 01.396 W,0.8,61,1.9,0.0,261,1025.4,66.6,0.0,0.0,17.0
2023-05-23T12:47:02-04:00,10.4,92,S52,3.5,41, ,38º 12.411 N,75º 59.642 W,0.8,58,1.9,0.1,280,1025.3,67.0,0.0,0.0,17.0
2023-05-23T12:56:48-04:00,10.3,92,P70,5.0,162, ,38º 12.842 N,75º 59.174 W,0.8,59,1.9,0.1,280,1025.3,67.2,0.0,0.0,16.8
2023-05-23T13:09:32-04:00,10.4,96,P88,6.4,184, ,38º 11.831 N,75º 58.754 W,0.8,57,1.9,0.1,283,1025.3,67.2,0.0,0.0,16.9
2023-05-23T14:20:50-04:00,11.9,104,P94,7.7,199, ,38º 04.194 N,75º 59.457 W,0.7,51,1.9,0.0,357,1025.1,65.9,0.0,0.0,17.5
2023-05-23T14:30:17-04:00,12.3,102,P157,5.0,259, ,38º 03.043 N,75º 59.949 W,0.7,53,1.9,0.0,14,1025.0,65.6,0.0,0.0,17.7
2023-05-23T14:39:00-04:00,12.5,102,S152,5.3,310, ,38º 02.902 N,76º 00.862 W,0.7,52,2.0,0.0,16,1025.0,65.6,0.0,0.0,17.7
2023-05-23T15:04:40-04:00,12.6,105,P154,5.4,259, ,38º 04.353 N,76º 03.083 W,0.8,53,2.0,0.0,339,1024.8,65.8,0.0,0.0,17.3
2023-05-23T15:37:29-04:00,13.2,104,S154,5.7,310, ,38º 03.791 N,76º 06.733 W,0.9,54,2.1,0.0,315,1024.7,65.5,0.0,0.0,17.2
2023-05-23T16:48:57-04:00,14.9,110,S149,6.4,321, ,38º 08.144 N,76º 13.400 W,1.0,70,2.2,0.1,292,1024.3,65.6,0.0,0.0,16.9
2023-05-23T18:37:28-04:00,13.1,115,S75,7.1,40, ,38º 17.119 N,76º 22.639 W,0.8,93,2.1,0.1,344,1024.6,64.2,0.0,0.0,15.5
