,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-05-18T16:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T16:00:00-04:00,13.3,206,S57,5.5,150, ,41º 20.388 N,71º 23.849 W,2.1,185,5.4,0.1,182,1027.0,50.2,0.0,0.0,20.5
2023-05-18T17:52:22-04:00,13.3,208,S59,4.8,150, ,41º 11.422 N,71º 16.880 W,2.3,188,5.4,0.0,268,1027.3,50.7,0.0,0.0,16.6
2023-05-18T20:02:18-04:00,11.9,198,P51,4.7,249, ,41º 02.455 N,71º 09.911 W,2.3,186,5.5,0.1,218,1027.9,51.1,0.0,0.0,15.9
2023-05-18T22:41:55-04:00,12.5,196,P56,4.9,251, ,40º 57.907 N,71º 25.493 W,2.3,184,5.1,0.2,226,1029.4,52.3,0.0,0.0,14.8
2023-05-19T00:25:44-04:00,11.4,189,P62,5.0,251, ,40º 55.213 N,71º 36.022 W,2.3,178,5.0,0.0,349,1029.2,52.5,0.0,0.0,13.7
2023-05-19T02:06:55-04:00,10.1,179,P84,6.4,263, ,40º 52.517 N,71º 46.551 W,2.2,173,4.8,0.1,52,1028.9,52.6,0.0,0.0,13.8
2023-05-19T05:07:13-04:00,9.6,171,P88,6.7,259, ,40º 50.029 N,72º 12.053 W,2.3,164,4.4,0.1,74,1029.0,53.1,0.0,0.0,13.5
2023-05-19T07:07:01-04:00,12.1,176,P89,7.5,265, ,40º 47.362 N,72º 29.390 W,2.5,163,4.3,0.0,28,1029.5,54.2,0.0,0.0,14.8
2023-05-19T08:21:27-04:00,10.4,174,P74,5.2,247, ,40º 46.548 N,72º 41.673 W,2.6,162,4.4,0.2,69,1029.8,55.3,0.0,0.0,15.3
2023-05-19T12:23:30-04:00,9.8,168,P88,6.4,256, ,40º 38.584 N,73º 07.808 W,2.8,157,4.5,,,1028.9,57.1,0.0,0.0,16.2
2023-05-19T13:26:59-04:00,10.3,165,P100,6.5,265, ,40º 36.890 N,73º 16.489 W,2.6,155,4.4,,,1028.3,57.0,0.0,0.0,16.1
2023-05-19T13:55:42-04:00,10.7,164,S146,4.8,18, ,40º 36.619 N,73º 20.583 W,2.5,155,4.3,,,1028.0,57.1,0.0,0.0,16.1
2023-05-19T14:10:50-04:00,10.6,164,P34,2.4,198, ,40º 37.770 N,73º 20.092 W,2.4,155,4.3,,,1027.9,57.7,0.0,0.0,16.6
2023-05-19T14:40:41-04:00,11.0,163,S68,5.5,95, ,40º 36.619 N,73º 20.583 W,2.5,154,4.3,,,1027.6,57.3,0.0,0.0,16.1
2023-05-19T17:06:26-04:00,11.4,162,S67,4.6,95, ,40º 35.393 N,73º 02.920 W,2.8,153,4.4,0.2,60,1026.4,57.0,0.0,0.0,16.3
2023-05-19T20:01:33-04:00,10.4,147,P50,3.6,196, ,40º 34.166 N,72º 45.256 W,2.7,150,4.9,0.2,46,1025.9,56.9,0.0,0.0,13.6
2023-05-19T22:38:01-04:00,11.0,143,P53,3.9,196, ,40º 25.027 N,72º 48.733 W,3.1,146,5.4,0.1,3,1025.6,57.5,0.0,0.0,13.7
2023-05-20T01:04:22-04:00,11.0,140,P53,4.0,193, ,40º 15.888 N,72º 52.210 W,3.5,144,5.8,0.1,346,1024.0,57.9,0.0,0.0,14.1
2023-05-20T03:16:52-04:00,11.4,134,P55,4.4,189, ,40º 07.250 N,72º 54.762 W,4.0,140,6.0,0.1,343,1022.7,58.4,0.0,0.0,15.0
2023-05-20T05:03:28-04:00,12.0,129,P53,4.8,181, ,39º 59.473 N,72º 56.378 W,4.4,138,6.1,0.1,343,1021.8,58.6,0.0,0.0,15.6
2023-05-20T08:02:44-04:00,12.9,118,P63,5.4,181, ,39º 45.059 N,72º 56.850 W,4.9,134,6.3,0.2,2,1021.2,59.3,0.0,0.0,17.8
2023-05-20T10:34:14-04:00,16.6,133,S55,5.6,79, ,39º 31.367 N,72º 57.298 W,6.2,136,6.4,0.1,315,1019.6,61.7,0.1,0.0,24.9
2023-05-20T11:04:56-04:00,17.2,136,P104,9.5,240, ,39º 31.929 N,72º 53.648 W,6.4,136,6.3,0.1,314,1019.5,61.8,0.1,0.0,26.0
2023-05-20T13:45:07-04:00,19.4,159,P89,9.6,248, ,39º 18.930 N,73º 22.218 W,7.8,144,6.7,0.0,15,1016.5,62.9,0.2,0.0,29.1
2023-05-20T14:20:56-04:00,18.8,167,P93,9.7,260, ,39º 16.796 N,73º 29.096 W,7.8,144,6.7,0.1,9,1016.1,62.7,0.3,0.1,26.3
2023-05-20T15:56:03-04:00,17.3,177,P95,9.8,271, ,39º 14.139 N,73º 48.703 W,7.6,145,6.8,0.0,5,1014.7,62.7,0.0,0.0,23.7
2023-05-20T18:26:59-04:00,14.0,189,P82,7.1,271, ,39º 14.558 N,74º 20.162 W,6.2,141,6.8,0.1,35,1013.2,62.1,0.0,0.0,19.1
