,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-05-18T23:11:37-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.962N 75 59.790W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T23:11:37-04:00,10.7,212,S72,4.7,140, ,41º 20.388 N,71º 23.849 W,2.3,193,4.7,0.1,126,1028.9,52.6,0.0,0.0,14.4
2023-05-19T02:08:28-04:00,11.7,185,P52,4.2,236, ,41º 09.671 N,71º 11.944 W,2.3,187,4.8,0.0,51,1029.3,52.2,0.0,0.0,15.3
2023-05-19T04:39:31-04:00,11.7,180,P56,4.5,236, ,41º 03.738 N,71º 23.714 W,2.3,177,4.6,0.1,127,1029.3,52.5,0.0,0.0,15.2
2023-05-19T07:02:49-04:00,12.0,183,P55,4.4,238, ,40º 57.805 N,71º 35.483 W,2.4,174,4.4,0.1,1,1030.1,53.2,0.0,0.0,15.1
2023-05-19T09:18:41-04:00,11.4,178,P89,7.4,267, ,40º 52.517 N,71º 46.551 W,2.5,171,4.4,0.1,49,1030.3,53.8,0.0,0.0,14.3
2023-05-19T11:16:18-04:00,10.9,172,P90,7.0,262, ,40º 51.732 N,72º 05.642 W,2.5,166,4.4,0.1,35,1030.0,54.5,0.0,0.0,13.5
2023-05-19T12:07:22-04:00,10.2,168,P91,7.0,259, ,40º 50.899 N,72º 13.387 W,2.4,164,4.5,0.1,52,1029.5,54.9,0.0,0.0,13.1
2023-05-19T13:38:32-04:00,11.3,164,P95,7.1,259, ,40º 48.794 N,72º 27.074 W,2.4,161,4.4,0.0,354,1028.6,55.2,0.0,0.0,14.6
2023-05-19T15:14:18-04:00,10.6,162,P86,7.0,248, ,40º 46.548 N,72º 41.673 W,2.5,158,4.4,0.2,64,1027.5,57.4,0.0,0.0,16.7
2023-05-19T17:40:15-04:00,13.4,156,P96,8.6,252, ,40º 39.436 N,73º 04.603 W,2.6,153,4.3,,,1026.2,57.5,0.0,0.0,18.4
2023-05-19T18:21:08-04:00,13.7,151,P110,7.9,262, ,40º 37.592 N,73º 11.926 W,2.7,150,4.3,,,1025.9,57.7,0.0,0.0,18.3
2023-05-19T19:11:37-04:00,13.0,147,S129,6.6,18, ,40º 36.619 N,73º 20.583 W,2.5,149,4.3,,,1025.4,57.5,0.0,0.0,16.8
2023-05-19T19:22:39-04:00,12.4,146,P52,4.3,198, ,40º 37.770 N,73º 20.092 W,2.5,149,4.3,,,1025.4,57.5,0.0,0.0,16.7
2023-05-19T19:39:33-04:00,12.9,144,S54,4.7,90, ,40º 36.619 N,73º 20.583 W,2.5,148,4.4,,,1025.2,57.5,0.0,0.0,16.7
2023-05-19T20:01:33-04:00,13.4,143,P50,4.2,192, ,40º 36.610 N,73º 18.313 W,2.6,148,4.4,,,1025.1,57.6,0.0,0.0,17.1
2023-05-19T23:01:23-04:00,11.3,145,S55,4.0,90, ,40º 24.228 N,73º 21.896 W,3.2,144,5.3,0.1,14,1024.7,58.6,0.0,0.0,14.1
2023-05-20T00:45:41-04:00,11.1,144,P51,3.8,195, ,40º 24.190 N,73º 12.819 W,3.3,144,5.5,0.1,0,1023.6,58.7,0.0,0.0,13.7
2023-05-20T02:54:06-04:00,10.1,138,P57,4.0,195, ,40º 16.418 N,73º 15.570 W,3.6,141,5.9,0.1,354,1022.3,59.0,0.0,0.0,12.5
2023-05-20T04:54:11-04:00,10.0,131,P61,4.6,192, ,40º 08.645 N,73º 18.321 W,3.8,138,6.2,0.2,4,1021.2,58.6,0.0,0.0,12.3
2023-05-20T06:34:32-04:00,10.9,122,P59,4.9,181, ,40º 01.158 N,73º 20.381 W,4.0,137,6.3,0.1,6,1021.0,58.7,0.1,0.0,13.4
2023-05-20T08:11:34-04:00,12.3,117,P64,5.7,181, ,39º 53.231 N,73º 20.641 W,4.3,135,6.4,0.1,18,1020.6,59.1,0.0,0.0,15.1
2023-05-20T09:43:25-04:00,13.7,120,P61,5.9,181, ,39º 44.583 N,73º 20.924 W,4.7,135,6.5,0.1,358,1019.8,59.9,0.0,0.0,17.0
2023-05-20T12:30:50-04:00,14.0,137,S58,6.4,79, ,39º 28.729 N,73º 21.443 W,5.3,135,6.6,0.0,7,1017.6,61.5,0.7,0.0,17.2
2023-05-20T13:24:37-04:00,14.9,150,S63,7.0,88, ,39º 29.852 N,73º 14.143 W,5.5,137,6.6,0.1,342,1017.0,62.0,1.6,0.0,18.4
2023-05-20T14:21:56-04:00,16.9,159,S80,9.1,79, ,39º 30.104 N,73º 05.510 W,5.8,139,6.6,0.1,302,1016.3,62.5,2.0,0.0,20.9
2023-05-20T15:23:14-04:00,17.3,166,P91,9.3,257, ,39º 31.929 N,72º 53.648 W,6.3,142,6.6,0.1,321,1015.9,62.5,0.5,0.0,21.2
2023-05-20T16:54:27-04:00,16.4,181,P78,8.5,259, ,39º 28.832 N,73º 11.453 W,6.4,143,6.7,0.0,311,1014.5,62.1,0.1,0.0,20.3
2023-05-20T19:19:53-04:00,16.1,187,P71,7.2,259, ,39º 24.902 N,73º 37.003 W,6.3,141,6.8,0.0,333,1013.5,62.3,0.0,0.0,20.0
2023-05-20T20:55:34-04:00,15.4,199,P67,6.7,266, ,39º 22.656 N,73º 51.602 W,6.1,141,6.8,0.1,17,1013.1,62.3,0.0,0.0,19.1
2023-05-20T22:14:46-04:00,15.1,206,P69,5.9,275, ,39º 21.982 N,74º 02.972 W,5.8,140,6.8,0.1,28,1012.6,62.3,0.6,0.0,18.7
2023-05-21T00:45:17-04:00,10.5,241,S43,3.0,198, ,39º 23.359 N,74º 21.993 W,4.0,136,7.0,0.0,45,1012.4,63.2,0.0,0.0,13.9
2023-05-21T01:09:33-04:00,10.3,248,P62,4.3,310, ,39º 22.208 N,74º 22.484 W,4.2,135,7.0,0.0,47,1012.4,63.2,0.0,0.0,13.6
2023-05-21T01:21:58-04:00,9.7,254,S56,3.7,198, ,39º 22.788 N,74º 23.374 W,4.0,135,7.0,0.0,49,1012.4,63.5,0.0,0.0,13.2
2023-05-21T01:41:53-04:00,9.6,261,P50,3.0,310, ,39º 21.637 N,74º 23.865 W,4.2,135,7.0,0.0,52,1012.4,63.5,0.0,0.0,12.8
2023-05-21T01:50:54-04:00,9.3,264,S44,3.9,220, ,39º 21.927 N,74º 24.309 W,4.2,135,7.1,0.1,56,1012.4,63.6,0.0,0.0,12.6
2023-05-21T03:27:01-04:00,9.7,299,S55,4.3,244, ,39º 17.191 N,74º 29.458 W,4.3,132,7.1,0.1,42,1013.1,62.3,0.2,0.0,11.8
2023-05-21T04:43:47-04:00,9.1,323,P147,4.8,110, ,39º 14.768 N,74º 35.893 W,3.8,130,7.1,0.0,23,1013.7,61.4,0.4,0.0,12.6
2023-05-21T06:49:32-04:00,11.8,320,S157,4.8,162, ,39º 11.257 N,74º 23.751 W,4.7,129,7.1,0.1,43,1014.4,60.4,0.0,0.0,14.8
2023-05-21T07:16:06-04:00,11.9,318,S146,5.3,172, ,39º 09.236 N,74º 22.909 W,4.7,129,7.0,0.1,35,1014.6,60.2,0.0,0.0,14.9
2023-05-21T10:01:05-04:00,11.3,312,S131,5.9,181, ,38º 54.954 N,74º 20.199 W,4.9,127,6.9,0.1,31,1015.1,59.9,0.0,0.0,14.3
2023-05-21T11:14:05-04:00,12.1,308,S134,5.9,174, ,38º 47.747 N,74º 20.435 W,4.9,126,6.8,0.1,15,1015.2,59.7,0.0,0.0,15.5
2023-05-21T13:09:46-04:00,10.4,302,S123,4.8,179, ,38º 36.498 N,74º 18.987 W,4.9,125,6.8,0.0,236,1014.9,60.0,0.0,0.0,13.0
2023-05-21T16:18:41-04:00,6.1,341,P154,2.3,134, ,38º 21.505 N,74º 18.570 W,4.5,121,6.9,0.0,149,1014.1,62.1,0.0,0.0,7.6
2023-05-21T19:24:51-04:00,4.4,186,S84,2.5,102, ,38º 16.432 N,74º 11.927 W,4.3,121,7.1,0.0,163,1014.4,62.6,0.0,0.0,5.3
2023-05-22T00:15:30-04:00,5.3,224,S88,3.5,136, ,38º 13.774 N,73º 56.580 W,3.9,120,7.1,0.1,181,1015.5,63.3,0.0,0.0,6.4
2023-05-22T01:50:06-04:00,6.5,269,S48,3.7,221, ,38º 09.862 N,73º 51.715 W,3.7,119,7.1,0.1,209,1015.0,63.8,0.0,0.0,8.0
2023-05-22T04:52:34-04:00,8.8,302,S64,4.8,237, ,38º 01.252 N,74º 01.075 W,3.5,115,7.1,0.2,252,1015.5,64.5,0.0,0.0,11.7
2023-05-22T06:52:09-04:00,8.4,333,S86,5.5,246, ,37º 56.105 N,74º 11.230 W,3.3,113,7.1,0.1,224,1016.4,63.8,0.0,0.0,10.6
2023-05-22T07:26:29-04:00,8.4,340,S79,5.8,261, ,37º 54.823 N,74º 14.904 W,3.3,112,7.1,0.1,225,1016.6,63.7,0.0,0.0,10.4
2023-05-22T09:07:49-04:00,10.4,8,S85,7.3,283, ,37º 53.288 N,74º 27.211 W,3.2,106,6.9,0.1,293,1017.3,63.8,0.0,0.0,13.3
2023-05-22T10:56:30-04:00,13.9,37,S114,8.4,283, ,37º 56.166 N,74º 43.459 W,3.2,98,6.3,0.0,32,1018.5,63.2,0.0,0.0,18.1
2023-05-22T12:30:31-04:00,15.3,35,P147,6.8,181, ,37º 59.045 N,74º 59.706 W,3.4,81,5.6,0.0,191,1019.3,62.1,0.0,0.0,19.9
