,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-05-18T23:11:37-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.962N 75 59.790W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T23:11:37-04:00,11.5,199,S57,4.7,142, ,41º 20.388 N,71º 23.849 W,2.3,193,4.7,0.1,126,1029.7,50.0,0.0,0.0,14.6
2023-05-19T01:04:07-04:00,12.8,196,S54,4.4,142, ,41º 13.438 N,71º 16.587 W,2.3,191,4.8,0.0,37,1029.7,51.8,0.0,0.0,13.4
2023-05-19T03:04:18-04:00,12.4,191,P53,4.6,244, ,41º 06.489 N,71º 09.325 W,2.3,184,4.8,0.1,81,1029.8,51.5,0.0,0.0,13.0
2023-05-19T05:19:31-04:00,12.4,185,P58,5.2,244, ,41º 01.832 N,71º 21.733 W,2.3,176,4.6,0.1,171,1029.9,52.0,0.0,0.0,13.2
2023-05-19T07:19:32-04:00,12.3,178,P65,5.7,244, ,40º 57.175 N,71º 34.142 W,2.4,174,4.4,0.1,347,1030.4,52.7,0.0,0.0,13.6
2023-05-19T09:10:14-04:00,12.0,177,P90,7.8,267, ,40º 52.517 N,71º 46.551 W,2.5,171,4.3,0.1,49,1030.5,53.3,0.0,0.0,13.9
2023-05-19T12:16:36-04:00,10.5,172,P87,7.0,259, ,40º 51.349 N,72º 17.457 W,2.4,163,4.5,0.0,332,1029.4,55.9,0.0,0.0,12.8
2023-05-19T13:34:34-04:00,11.1,164,P88,7.1,252, ,40º 49.524 N,72º 29.320 W,2.4,161,4.4,0.0,351,1028.7,56.0,0.0,0.0,13.1
2023-05-19T14:56:59-04:00,10.8,158,P89,6.8,247, ,40º 46.548 N,72º 41.673 W,2.5,158,4.4,0.2,64,1027.8,56.8,0.0,0.0,13.1
2023-05-19T17:12:53-04:00,10.9,149,P103,6.7,252, ,40º 40.427 N,73º 00.485 W,2.5,154,4.2,,,1026.2,58.1,0.0,0.0,14.5
2023-05-19T18:05:19-04:00,11.0,144,P111,6.5,255, ,40º 38.584 N,73º 07.808 W,2.8,151,4.4,,,1025.7,58.2,0.0,0.0,15.9
2023-05-19T18:55:27-04:00,11.0,141,P122,6.0,263, ,40º 37.171 N,73º 14.664 W,2.7,149,4.4,,,1025.3,58.2,0.0,0.0,16.9
2023-05-19T19:40:52-04:00,10.9,139,S121,5.8,18, ,40º 36.619 N,73º 20.583 W,2.5,148,4.4,,,1024.9,58.1,0.0,0.0,17.6
2023-05-19T19:53:17-04:00,10.5,139,P51,3.6,190, ,40º 37.770 N,73º 20.092 W,2.5,148,4.3,,,1024.8,58.1,0.0,0.0,17.6
2023-05-19T21:52:04-04:00,11.3,150,S52,4.3,97, ,40º 30.713 N,73º 21.684 W,2.9,145,5.0,0.2,65,1024.1,58.1,0.0,0.0,16.8
2023-05-20T00:56:48-04:00,9.7,147,P49,3.8,196, ,40º 29.056 N,73º 04.489 W,3.2,145,5.4,0.2,50,1022.3,58.3,0.0,0.0,12.7
2023-05-20T02:44:23-04:00,9.9,118,P62,6.0,181, ,40º 22.580 N,73º 06.970 W,3.5,143,5.8,0.1,358,1020.7,57.9,0.1,0.0,13.0
2023-05-20T05:24:18-04:00,14.4,92,P91,8.8,183, ,40º 03.553 N,73º 07.139 W,4.0,137,6.2,0.1,353,1018.1,57.4,0.9,0.0,23.1
2023-05-20T07:10:52-04:00,16.6,115,P73,6.7,188, ,39º 47.989 N,73º 08.102 W,4.3,135,6.4,0.1,352,1016.4,58.6,1.6,0.0,29.1
2023-05-20T08:57:32-04:00,19.4,139,P59,5.8,198, ,39º 36.178 N,73º 10.305 W,4.8,135,6.5,0.1,329,1015.3,59.8,3.0,0.0,35.1
2023-05-20T09:35:13-04:00,19.9,147,S54,6.4,93, ,39º 32.725 N,73º 11.780 W,4.9,135,6.5,0.1,327,1015.0,60.0,3.3,0.0,36.1
2023-05-20T11:45:52-04:00,21.7,166,P89,9.6,255, ,39º 31.929 N,72º 53.648 W,5.5,136,6.5,0.1,314,1014.7,60.2,3.2,0.0,38.6
