,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-05-18T23:11:37-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.962N 75 59.790W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T23:11:37-04:00,9.5,210,S67,4.6,143, ,41º 20.388 N,71º 23.849 W,2.3,193,4.7,0.1,126,1028.9,52.6,0.0,0.0,14.4
2023-05-19T00:58:12-04:00,12.1,197,S54,4.1,143, ,41º 13.874 N,71º 17.254 W,2.3,191,4.8,0.0,47,1029.1,52.5,0.0,0.0,15.2
2023-05-19T02:58:09-04:00,12.1,189,P48,3.9,236, ,41º 07.360 N,71º 10.658 W,2.2,185,4.8,0.1,83,1029.4,52.2,0.0,0.0,15.3
2023-05-19T05:19:09-04:00,11.4,183,P61,5.0,244, ,41º 02.213 N,71º 20.813 W,2.3,176,4.5,0.1,164,1029.5,52.5,0.0,0.0,15.2
2023-05-19T08:05:21-04:00,11.6,183,P60,4.8,243, ,40º 56.083 N,71º 37.355 W,2.4,174,4.3,0.1,23,1030.5,53.4,0.0,0.0,15.1
2023-05-19T09:43:03-04:00,10.6,175,P89,7.0,265, ,40º 52.517 N,71º 46.551 W,2.5,171,4.4,0.1,49,1030.3,53.9,0.0,0.0,14.0
2023-05-19T11:22:35-04:00,10.6,174,P90,6.8,265, ,40º 51.427 N,72º 01.793 W,2.5,167,4.4,0.2,49,1030.0,54.4,0.0,0.0,13.7
2023-05-19T13:04:27-04:00,11.0,171,P87,7.5,259, ,40º 50.338 N,72º 17.036 W,2.4,162,4.5,0.0,19,1029.0,55.1,0.0,0.0,14.1
2023-05-19T15:37:42-04:00,11.4,164,P84,7.2,248, ,40º 46.548 N,72º 41.673 W,2.5,158,4.4,0.2,63,1027.3,57.4,0.0,0.0,16.8
2023-05-19T18:12:42-04:00,11.1,152,P101,6.8,253, ,40º 39.436 N,73º 04.603 W,2.6,152,4.3,,,1026.0,57.5,0.0,0.0,18.2
