,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-05-18T21:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T21:00:00-04:00,12.8,203,S61,5.5,142, ,41º 20.388 N,71º 23.849 W,2.3,189,4.7,0.1,108,1028.1,51.1,0.0,0.0,17.6
2023-05-18T22:35:55-04:00,13.1,196,S55,4.3,142, ,41º 13.438 N,71º 16.587 W,2.4,189,4.8,0.0,0,1029.1,51.2,0.0,0.0,17.5
2023-05-19T00:37:57-04:00,11.7,186,P54,4.5,240, ,41º 06.489 N,71º 09.325 W,2.3,182,4.9,0.1,82,1029.3,51.4,0.0,0.0,15.4
2023-05-19T02:36:28-04:00,10.7,181,P59,4.1,240, ,41º 02.063 N,71º 19.456 W,2.2,175,5.0,0.1,138,1029.1,52.0,0.0,0.0,14.0
2023-05-19T04:44:26-04:00,9.5,190,P59,3.6,248, ,40º 57.636 N,71º 29.588 W,2.0,171,4.9,0.0,28,1029.2,52.9,0.0,0.0,12.0
2023-05-19T08:37:27-04:00,9.5,185,P86,6.0,270, ,40º 52.517 N,71º 46.551 W,1.9,168,4.8,0.2,49,1029.8,53.7,0.0,0.0,11.6
2023-05-19T09:46:22-04:00,9.7,178,P81,5.8,259, ,40º 52.555 N,71º 55.628 W,1.9,165,4.7,0.2,60,1029.7,54.0,0.0,0.0,11.8
2023-05-19T11:58:02-04:00,9.6,173,P85,6.4,259, ,40º 50.029 N,72º 12.053 W,2.0,162,4.6,0.2,61,1029.1,54.9,0.0,0.0,11.8
2023-05-19T13:56:02-04:00,11.6,174,P91,7.5,265, ,40º 47.502 N,72º 28.478 W,2.2,163,4.3,0.1,33,1028.1,55.4,0.0,0.0,14.5
2023-05-19T15:16:08-04:00,10.9,176,P72,5.7,248, ,40º 46.548 N,72º 41.673 W,2.3,163,4.3,0.2,60,1027.3,58.3,0.0,0.0,17.3
