,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,SPIRE,2023-05-18T22:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T22:00:00-04:00,11.1,201,S61,5.1,141, ,41º 20.388 N,71º 23.849 W,2.3,188,4.6,0.1,106,1028.6,51.2,0.0,0.0,17.4
2023-05-18T23:57:07-04:00,13.3,200,S60,4.7,141, ,41º 12.713 N,71º 15.476 W,2.4,187,4.8,0.0,328,1029.2,51.4,0.0,0.0,16.3
2023-05-19T02:03:29-04:00,11.5,189,P54,4.3,243, ,41º 05.039 N,71º 07.102 W,2.2,179,5.0,0.1,71,1029.2,51.7,0.0,0.0,14.3
2023-05-19T05:07:35-04:00,10.5,191,P58,4.2,249, ,40º 59.049 N,71º 22.732 W,2.1,171,4.9,0.1,165,1029.3,53.0,0.0,0.0,12.5
2023-05-19T08:09:28-04:00,10.1,189,P64,4.5,252, ,40º 54.501 N,71º 38.315 W,1.9,169,4.9,0.2,50,1029.9,53.5,0.0,0.0,11.2
2023-05-19T09:35:59-04:00,10.4,185,P79,6.2,263, ,40º 52.517 N,71º 46.551 W,1.9,167,4.8,0.2,49,1029.8,54.0,0.0,0.0,11.2
2023-05-19T12:01:58-04:00,10.8,178,P86,7.0,263, ,40º 50.726 N,72º 06.356 W,1.9,163,4.6,0.2,56,1029.2,54.9,0.0,0.0,12.3
2023-05-19T14:11:27-04:00,11.6,174,P85,7.3,259, ,40º 48.934 N,72º 26.161 W,2.1,163,4.3,0.1,33,1028.0,55.6,0.0,0.0,14.4
2023-05-19T15:50:18-04:00,11.3,171,P77,6.3,248, ,40º 46.548 N,72º 41.673 W,2.4,162,4.3,0.2,60,1027.1,58.3,0.0,0.0,17.0
2023-05-19T18:45:08-04:00,10.6,161,P91,6.9,252, ,40º 39.436 N,73º 04.603 W,2.5,159,4.3,,,1026.2,58.1,0.0,0.0,15.7
2023-05-19T19:35:42-04:00,10.2,159,P103,6.1,262, ,40º 37.592 N,73º 11.926 W,2.5,157,4.3,,,1026.1,58.4,0.0,0.0,15.3
2023-05-19T20:40:44-04:00,9.6,156,S138,4.5,18, ,40º 36.619 N,73º 20.583 W,2.3,155,4.4,,,1025.8,58.1,0.0,0.0,13.8
2023-05-19T20:56:43-04:00,9.1,157,P41,2.5,198, ,40º 37.770 N,73º 20.092 W,2.2,156,4.4,,,1025.8,58.0,0.0,0.0,13.7
2023-05-19T21:25:26-04:00,9.3,156,S53,3.3,103, ,40º 36.619 N,73º 20.583 W,2.3,154,4.5,,,1025.7,58.2,0.0,0.0,14.1
2023-05-20T00:01:04-04:00,9.8,152,P49,3.6,201, ,40º 34.700 N,73º 09.751 W,2.7,151,4.8,0.2,61,1025.0,58.2,0.0,0.0,14.2
2023-05-20T03:08:07-04:00,11.1,141,P53,4.6,194, ,40º 24.200 N,73º 15.088 W,3.1,145,5.5,0.1,4,1023.3,58.5,0.0,0.0,12.5
2023-05-20T05:09:25-04:00,12.8,130,P62,6.2,192, ,40º 15.131 N,73º 18.109 W,3.3,141,5.8,0.2,13,1022.6,58.7,0.0,0.0,13.3
2023-05-20T07:30:04-04:00,16.2,126,P66,6.7,192, ,40º 00.924 N,73º 21.902 W,3.8,137,5.9,0.2,12,1022.2,59.5,0.0,0.0,17.6
2023-05-20T09:39:28-04:00,17.0,132,P60,5.5,192, ,39º 46.717 N,73º 25.696 W,4.2,134,5.9,0.1,12,1021.6,60.7,0.0,0.0,18.9
2023-05-20T12:18:03-04:00,16.2,148,S56,6.3,91, ,39º 32.510 N,73º 29.490 W,4.5,132,5.9,0.1,14,1020.3,61.6,0.0,0.0,19.0
2023-05-20T14:30:26-04:00,17.7,156,S65,7.0,91, ,39º 32.219 N,73º 11.569 W,4.8,133,6.0,0.1,347,1019.0,62.2,0.0,0.0,19.7
2023-05-20T16:28:21-04:00,18.1,161,P89,9.6,250, ,39º 31.929 N,72º 53.648 W,5.2,136,6.0,0.1,284,1017.5,63.0,0.0,0.0,21.8
2023-05-20T18:43:22-04:00,17.2,173,P80,8.5,252, ,39º 24.826 N,73º 18.847 W,5.8,142,6.0,0.0,41,1015.7,63.5,0.0,0.0,26.0
2023-05-20T20:48:55-04:00,17.4,182,P78,7.9,259, ,39º 19.726 N,73º 40.349 W,6.6,148,6.0,0.0,17,1014.5,63.4,0.8,0.0,27.7
