,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,UKMO,2023-05-18T22:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T22:00:00-04:00,12.1,212,S67,5.5,145, ,41º 20.388 N,71º 23.849 W,2.3,188,4.6,0.1,106,1028.6,51.2,0.0,0.0,17.4
2023-05-19T01:12:22-04:00,11.9,187,P53,4.7,240, ,41º 07.510 N,71º 12.014 W,2.3,182,4.9,0.1,89,1029.2,51.6,0.0,0.0,14.8
2023-05-19T03:21:24-04:00,14.3,186,P54,5.6,240, ,41º 02.512 N,71º 23.527 W,2.1,174,4.9,0.1,115,1029.1,52.3,0.0,0.0,14.3
2023-05-19T05:09:17-04:00,14.7,179,P62,6.2,240, ,40º 57.515 N,71º 35.039 W,2.0,169,4.9,0.1,43,1029.2,52.9,0.0,0.0,14.7
2023-05-19T06:46:15-04:00,14.6,178,P86,9.0,264, ,40º 52.517 N,71º 46.551 W,2.0,168,4.8,0.2,50,1029.6,53.3,0.0,0.0,14.6
2023-05-19T09:47:08-04:00,13.1,170,P89,8.6,259, ,40º 49.636 N,72º 21.599 W,1.9,163,4.5,0.1,47,1029.5,54.3,0.0,0.0,13.1
2023-05-19T11:35:35-04:00,13.3,171,P74,7.1,245, ,40º 46.548 N,72º 41.673 W,2.1,162,4.4,0.2,63,1029.1,57.6,0.0,0.0,14.9
2023-05-19T13:02:59-04:00,14.8,172,P80,8.7,252, ,40º 42.131 N,72º 54.074 W,2.1,162,4.1,,,1028.2,56.5,0.0,0.0,15.0
2023-05-19T14:49:01-04:00,16.1,169,P94,9.8,262, ,40º 37.312 N,73º 13.751 W,2.6,160,4.2,,,1027.2,58.2,0.0,0.0,17.5
2023-05-19T15:21:09-04:00,15.9,168,S150,6.4,18, ,40º 36.619 N,73º 20.583 W,2.4,160,4.1,,,1027.0,58.2,0.0,0.0,16.6
