,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,GFS,2023-05-18T23:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T23:00:00-04:00,12.8,202,S57,5.3,146, ,41º 20.388 N,71º 23.849 W,2.3,187,4.6,0.1,103,1029.6,50.9,0.0,0.0,15.8
2023-05-19T00:50:29-04:00,14.7,200,S54,5.2,146, ,41º 12.358 N,71º 16.622 W,2.3,184,4.8,0.0,309,1029.7,52.3,0.0,0.0,15.4
2023-05-19T02:42:57-04:00,13.6,197,P48,4.5,245, ,41º 04.327 N,71º 09.395 W,2.2,178,4.9,0.1,100,1029.6,52.0,0.0,0.0,14.2
2023-05-19T05:01:46-04:00,11.9,191,P57,5.0,248, ,40º 59.910 N,71º 21.796 W,2.1,172,4.9,0.1,136,1029.1,52.7,0.0,0.0,12.5
2023-05-19T07:01:52-04:00,12.7,185,P63,5.7,248, ,40º 56.214 N,71º 34.174 W,1.9,169,4.9,0.1,40,1029.7,52.9,0.0,0.0,13.6
2023-05-19T08:47:57-04:00,13.0,184,P81,7.5,265, ,40º 52.517 N,71º 46.551 W,1.9,168,4.8,0.2,49,1029.8,53.4,0.0,0.0,14.3
2023-05-19T10:20:43-04:00,12.7,185,P80,6.9,265, ,40º 51.427 N,72º 01.793 W,1.9,163,4.7,0.2,58,1029.6,54.3,0.0,0.0,14.5
2023-05-19T12:01:05-04:00,11.5,182,P77,6.9,259, ,40º 50.338 N,72º 17.036 W,1.9,162,4.5,0.1,43,1028.7,55.8,0.0,0.0,14.1
2023-05-19T14:40:31-04:00,11.7,165,P83,7.3,248, ,40º 46.548 N,72º 41.673 W,2.3,163,4.3,0.2,61,1026.4,57.5,0.0,0.0,14.8
2023-05-19T17:08:10-04:00,12.7,154,P100,8.0,254, ,40º 39.436 N,73º 04.603 W,2.5,160,4.2,,,1024.4,59.2,0.0,0.0,17.5
