,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,ECMWF,2023-05-18T23:14:55-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.962N 75 59.790W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T23:14:55-04:00,10.7,212,S66,4.7,146, ,41º 20.388 N,71º 23.849 W,2.3,193,4.7,0.1,126,1028.9,52.6,0.0,0.0,14.4
2023-05-19T01:06:29-04:00,11.5,193,S55,4.0,137, ,41º 13.153 N,71º 17.278 W,2.3,190,4.8,0.0,43,1029.2,52.5,0.0,0.0,15.1
2023-05-19T02:19:36-04:00,11.7,184,P51,4.2,235, ,41º 09.531 N,71º 12.856 W,2.3,187,4.8,0.0,65,1029.3,52.2,0.0,0.0,15.3
2023-05-19T04:46:29-04:00,11.7,180,P56,4.4,235, ,41º 03.668 N,71º 24.170 W,2.3,176,4.6,0.1,125,1029.3,52.5,0.0,0.0,15.2
2023-05-19T07:08:03-04:00,12.0,183,P55,4.4,238, ,40º 57.805 N,71º 35.483 W,2.4,174,4.4,0.1,1,1030.1,53.2,0.0,0.0,15.2
2023-05-19T09:24:12-04:00,11.4,178,P88,7.4,267, ,40º 52.517 N,71º 46.551 W,2.5,171,4.4,0.1,49,1030.3,53.8,0.0,0.0,14.2
2023-05-19T11:49:16-04:00,10.4,170,P89,6.9,259, ,40º 51.460 N,72º 09.736 W,2.4,165,4.5,0.1,47,1029.7,54.8,0.0,0.0,13.0
2023-05-19T13:39:21-04:00,11.3,164,P95,7.1,259, ,40º 48.934 N,72º 26.161 W,2.4,161,4.4,0.0,357,1028.6,55.2,0.0,0.0,14.5
2023-05-19T15:20:29-04:00,10.6,162,P86,7.0,248, ,40º 46.548 N,72º 41.673 W,2.5,158,4.4,0.2,64,1027.5,57.4,0.0,0.0,16.7
2023-05-19T17:46:11-04:00,13.4,155,P97,8.6,252, ,40º 39.436 N,73º 04.603 W,2.6,153,4.3,,,1026.2,57.5,0.0,0.0,18.4
2023-05-19T18:27:14-04:00,13.7,151,P111,7.9,262, ,40º 37.592 N,73º 11.926 W,2.7,150,4.3,,,1025.8,57.7,0.0,0.0,18.3
2023-05-19T19:17:53-04:00,13.0,146,S128,6.6,18, ,40º 36.619 N,73º 20.583 W,2.5,148,4.4,,,1025.4,57.5,0.0,0.0,16.8
2023-05-19T19:28:53-04:00,12.4,146,P47,4.3,193, ,40º 37.770 N,73º 20.092 W,2.5,149,4.3,,,1025.3,57.5,0.0,0.0,16.7
2023-05-19T22:42:37-04:00,11.3,144,S57,4.3,87, ,40º 24.238 N,73º 24.166 W,3.1,144,5.2,0.1,18,1024.7,58.5,0.0,0.0,14.1
2023-05-20T00:23:06-04:00,11.2,145,P50,3.7,194, ,40º 24.630 N,73º 14.620 W,3.3,144,5.4,0.1,8,1023.9,58.6,0.0,0.0,13.9
2023-05-20T03:09:33-04:00,10.0,137,P57,4.1,194, ,40º 14.626 N,73º 17.898 W,3.6,141,5.9,0.1,355,1022.1,58.9,0.0,0.0,12.4
2023-05-20T05:39:59-04:00,10.3,127,P55,4.4,181, ,40º 04.621 N,73º 21.176 W,3.9,138,6.3,0.1,9,1021.1,58.6,0.0,0.0,12.6
2023-05-20T07:38:18-04:00,11.8,118,P63,5.5,181, ,39º 55.973 N,73º 21.459 W,4.2,136,6.4,0.1,19,1020.7,58.9,0.1,0.0,14.4
2023-05-20T09:20:00-04:00,13.3,119,P62,5.9,181, ,39º 46.604 N,73º 21.766 W,4.5,135,6.5,0.1,13,1020.0,59.7,0.0,0.0,16.5
2023-05-20T12:29:06-04:00,13.9,136,S57,7.0,79, ,39º 28.589 N,73º 22.355 W,5.3,135,6.6,0.0,8,1017.6,61.4,0.6,0.0,17.1
2023-05-20T14:01:21-04:00,16.1,157,S73,8.2,84, ,39º 30.694 N,73º 08.668 W,5.7,138,6.6,0.1,310,1016.5,62.4,2.8,0.0,19.9
2023-05-20T15:26:06-04:00,17.3,167,P90,9.3,257, ,39º 31.929 N,72º 53.648 W,6.3,142,6.6,0.1,321,1015.9,62.5,0.5,0.0,21.2
2023-05-20T16:42:52-04:00,16.5,180,P82,8.9,262, ,39º 29.252 N,73º 08.716 W,6.4,143,6.7,0.1,304,1014.7,62.1,0.3,0.0,20.4
2023-05-20T19:18:22-04:00,16.4,187,P76,8.0,263, ,39º 26.203 N,73º 37.868 W,6.2,141,6.8,0.0,63,1013.5,62.2,0.0,0.0,20.4
