,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-18T23:14:55-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.962N 75 59.790W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T23:14:55-04:00,11.0,209,S68,4.2,141, ,41º 20.388 N,71º 23.849 W,2.3,193,4.7,0.1,126,1028.9,52.6,0.0,0.0,14.4
2023-05-19T02:14:33-04:00,12.1,185,P57,4.9,242, ,41º 10.542 N,71º 13.277 W,2.3,187,4.8,0.0,36,1029.3,52.3,0.0,0.0,15.3
2023-05-19T04:41:00-04:00,12.3,187,P56,4.1,242, ,41º 04.978 N,71º 27.305 W,2.3,176,4.5,0.1,103,1029.3,52.6,0.0,0.0,15.3
2023-05-19T07:36:32-04:00,10.1,193,S54,3.4,139, ,40º 59.414 N,71º 41.332 W,2.4,173,4.3,0.1,93,1030.3,53.2,0.0,0.0,14.8
2023-05-19T08:47:17-04:00,9.2,186,P54,3.6,240, ,40º 56.373 N,71º 37.800 W,2.4,174,4.3,0.1,28,1030.4,53.5,0.0,0.0,14.6
2023-05-19T10:54:20-04:00,8.7,170,P103,5.6,273, ,40º 52.517 N,71º 46.551 W,2.4,171,4.4,0.1,47,1030.3,54.1,0.0,0.0,13.2
2023-05-19T11:53:19-04:00,11.0,160,P99,7.3,259, ,40º 52.835 N,71º 53.803 W,2.4,168,4.4,0.1,49,1029.8,54.1,0.0,0.0,13.6
2023-05-19T14:55:13-04:00,12.6,166,P97,7.9,263, ,40º 48.204 N,72º 23.915 W,2.4,160,4.4,0.0,358,1027.9,55.1,0.0,0.0,15.2
2023-05-19T16:37:58-04:00,12.1,158,P89,7.7,247, ,40º 46.548 N,72º 41.673 W,2.5,157,4.4,0.2,63,1026.8,57.2,0.0,0.0,17.2
2023-05-19T18:43:47-04:00,13.6,146,P106,8.1,252, ,40º 40.287 N,73º 01.397 W,2.5,152,4.3,,,1025.9,57.3,0.0,0.0,17.2
