,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWE,2023-05-18T08:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T08:00:00-04:00,6.7,354,S80,3.7,273, ,41º 20.388 N,71º 23.849 W,2.2,174,6.4,0.1,178,1025.2,45.8,0.0,0.0,11.4
2023-05-18T08:44:31-04:00,2.2,70,S119,1.1,311, ,41º 20.547 N,71º 27.476 W,2.0,173,6.6,0.0,170,1025.6,46.3,0.0,0.0,9.9
2023-05-18T09:32:24-04:00,5.2,95,P124,3.0,219, ,41º 21.127 N,71º 28.365 W,1.8,172,6.8,0.0,157,1026.1,47.3,0.0,0.0,9.6
2023-05-18T10:17:26-04:00,5.6,275,S86,3.2,189, ,41º 19.405 N,71º 30.237 W,1.8,171,6.8,0.0,119,1026.5,47.6,0.0,0.0,9.7
2023-05-18T11:06:44-04:00,7.3,225,P42,2.6,267, ,41º 16.813 N,71º 30.776 W,1.8,171,6.8,0.0,225,1027.1,47.5,0.0,0.0,9.3
2023-05-18T12:01:32-04:00,11.0,216,P64,5.3,280, ,41º 16.682 N,71º 33.958 W,1.7,172,6.5,0.1,338,1027.2,47.9,0.0,0.0,12.2
2023-05-18T13:27:43-04:00,14.0,224,S60,5.8,164, ,41º 18.020 N,71º 43.901 W,1.6,173,6.0,,,1027.2,49.1,0.0,0.0,15.6
2023-05-18T15:41:25-04:00,17.9,217,S53,5.8,164, ,41º 05.676 N,71º 39.085 W,2.0,176,6.1,0.1,231,1027.5,49.3,0.0,0.0,17.9
2023-05-18T17:55:08-04:00,15.9,216,P49,6.1,265, ,40º 53.331 N,71º 34.268 W,2.1,172,6.2,0.1,212,1027.7,49.7,0.0,0.0,15.9
2023-05-18T19:26:25-04:00,14.5,206,P54,6.1,261, ,40º 52.517 N,71º 46.551 W,2.1,173,5.9,0.1,56,1027.8,50.6,0.0,0.0,14.5
2023-05-18T21:54:32-04:00,16.5,188,P70,7.5,259, ,40º 49.579 N,72º 07.982 W,2.0,168,5.4,0.2,67,1028.5,51.6,0.0,0.0,16.5
2023-05-19T00:03:28-04:00,15.3,187,P84,8.6,271, ,40º 46.351 N,72º 28.969 W,1.9,164,4.9,0.1,33,1028.7,52.8,0.0,0.0,15.3
2023-05-19T01:10:32-04:00,13.1,190,S59,5.4,131, ,40º 46.548 N,72º 41.673 W,1.8,161,4.7,0.2,64,1028.5,51.6,0.0,0.0,13.1
2023-05-19T01:35:12-04:00,14.8,190,P57,5.4,246, ,40º 45.097 N,72º 39.451 W,1.9,162,4.7,0.2,62,1028.5,52.4,0.0,0.0,14.8
2023-05-19T03:47:04-04:00,12.1,189,P68,5.7,256, ,40º 40.399 N,72º 53.677 W,1.9,160,4.2,0.2,60,1028.6,54.0,0.0,0.0,14.3
2023-05-19T05:14:01-04:00,12.2,187,P75,6.9,261, ,40º 38.425 N,73º 04.182 W,2.1,158,4.2,,,1028.6,54.6,0.0,0.0,14.1
2023-05-19T06:59:27-04:00,14.0,187,S169,3.1,18, ,40º 36.619 N,73º 20.583 W,2.1,158,4.0,,,1028.7,55.8,0.0,0.0,14.0
2023-05-19T07:22:52-04:00,14.0,188,P17,1.7,205, ,40º 37.770 N,73º 20.092 W,2.1,159,3.9,,,1028.8,55.9,0.0,0.0,14.2
2023-05-19T08:23:41-04:00,14.6,183,S76,7.3,107, ,40º 36.188 N,73º 21.051 W,2.2,159,4.0,,,1028.9,56.2,0.0,0.0,14.6
2023-05-19T10:02:51-04:00,14.0,173,S66,6.1,107, ,40º 32.666 N,73º 05.884 W,2.6,157,4.3,0.2,71,1029.0,56.4,0.0,0.0,14.8
2023-05-19T12:01:22-04:00,14.0,167,S60,5.7,107, ,40º 29.143 N,72º 50.716 W,2.6,157,4.4,0.1,9,1028.8,56.3,0.0,0.0,14.5
2023-05-19T14:07:41-04:00,15.2,161,P57,5.7,218, ,40º 25.621 N,72º 35.549 W,2.5,156,4.4,0.1,340,1028.0,56.6,0.0,0.0,16.0
2023-05-19T16:40:08-04:00,13.6,160,P54,5.0,214, ,40º 14.138 N,72º 47.273 W,2.6,150,4.5,0.1,339,1026.7,57.6,0.0,0.0,15.6
