,Route,Start Time,Start,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,Go To,End
,PWG,2023-05-18T08:00:00-04:00,41 20.388N 71 23.850W,40 52.602N 71 46.692W,40 51.396N 72 45.552W,40 42.348N 73 20.796W,39 32.160N 72 53.442W,39 16.956N 74 42.552W,38 10.116N 73 51.750W,37 58.848N 74 59.586W,37 32.316N 75 47.412W,37 2.088N 76 4.668W,37 10.032N 75 59.112W,37 34.296N 76 1.974W,37 49.734N 75 59.646W,38 2.292N 76 20.394W,38 13.830N 76 2.730W,38 17.544N 76 24.276W,38 32.916N 76 25.362W,38 53.982N 76 26.202W,38 58.638N 76 19.836W
,Polar,Polar Speed Adjustment,Motoring,Ocean Current,TWS Scale Factor,TWD Adjustment
,"Upwind 50°: 5.0, 90°: 10.0, Downwind 160°: 6.0","Upwind: 100, Downwind: 100",False,Mercator,100%,0°
Time,TWS (kts),TWD (° true),TWA,SOG (kts),COG (° true),Motoring,Latitude,Longitude,Wave Height (ft),Wave Dir (° true),Wave Period (s),Current Speed (kts),Current Dir (° true),Pressure (hPa),Temperature (° F),Rain (mm/hr),CAPE (kJ/kg),Gust (kts)
2023-05-18T08:00:00-04:00,9.5,6,P157,4.0,163, ,41º 20.388 N,71º 23.849 W,2.2,174,6.4,0.1,178,1025.5,47.2,0.0,0.0,9.5
2023-05-18T08:15:55-04:00,10.0,5,S150,4.3,214, ,41º 19.377 N,71º 23.429 W,2.2,173,6.4,0.1,178,1025.7,47.5,0.0,0.0,10.0
2023-05-18T09:26:52-04:00,8.5,21,P144,3.4,165, ,41º 15.212 N,71º 27.197 W,2.2,171,6.4,0.1,222,1026.3,48.2,0.0,0.0,8.5
2023-05-18T11:13:57-04:00,3.7,7,S147,1.6,219, ,41º 09.437 N,71º 25.116 W,2.2,172,6.5,0.1,218,1027.1,49.5,0.0,0.0,4.7
2023-05-18T11:54:27-04:00,1.9,270,S120,2.2,150, ,41º 08.577 N,71º 26.052 W,2.2,172,6.5,0.1,217,1027.2,49.8,0.0,0.0,6.3
2023-05-18T13:26:46-04:00,9.9,199,P59,4.7,258, ,41º 05.684 N,71º 23.877 W,2.2,173,6.6,0.1,166,1027.3,50.6,0.0,0.0,9.9
2023-05-18T15:14:28-04:00,13.3,200,P56,5.5,256, ,41º 04.000 N,71º 34.827 W,2.1,175,6.3,0.1,292,1027.3,51.6,0.0,0.0,13.3
2023-05-18T16:51:06-04:00,14.0,208,S52,4.9,157, ,41º 01.886 N,71º 46.244 W,2.0,175,5.8,0.2,192,1027.2,52.1,0.0,0.0,15.4
2023-05-18T18:42:06-04:00,14.8,198,P55,5.4,253, ,40º 53.650 N,71º 41.521 W,2.1,173,6.0,0.1,73,1028.0,52.1,0.0,0.0,14.8
2023-05-18T19:26:11-04:00,14.0,201,P60,6.5,261, ,40º 52.517 N,71º 46.551 W,2.1,173,5.9,0.1,56,1028.3,52.3,0.0,0.0,15.0
2023-05-18T21:40:56-04:00,14.9,194,P65,6.8,259, ,40º 50.290 N,72º 05.689 W,2.0,169,5.4,0.2,63,1028.9,52.4,0.0,0.0,14.9
2023-05-18T23:58:29-04:00,14.4,193,P69,7.0,262, ,40º 47.203 N,72º 25.763 W,1.9,165,4.9,0.1,31,1029.1,52.6,0.0,0.0,14.4
2023-05-19T00:43:15-04:00,13.0,192,P78,7.2,270, ,40º 46.510 N,72º 32.596 W,1.9,163,4.8,0.1,30,1029.0,52.6,0.0,0.0,13.1
2023-05-19T01:40:34-04:00,12.1,192,S61,5.2,131, ,40º 46.548 N,72º 41.673 W,1.8,161,4.7,0.2,65,1028.8,52.4,0.0,0.0,12.5
2023-05-19T02:05:59-04:00,13.8,192,P56,5.0,248, ,40º 45.097 N,72º 39.451 W,1.9,162,4.7,0.2,62,1028.8,52.6,0.0,0.0,13.8
2023-05-19T04:30:02-04:00,12.2,193,P64,5.3,256, ,40º 40.690 N,72º 54.121 W,1.9,160,4.2,0.2,54,1028.4,53.1,0.0,0.0,12.2
2023-05-19T07:38:33-04:00,10.9,186,P79,6.3,265, ,40º 36.890 N,73º 16.489 W,2.3,158,4.0,,,1028.7,54.9,0.0,0.0,12.1
2023-05-19T08:08:15-04:00,10.9,184,S166,3.2,18, ,40º 36.619 N,73º 20.583 W,2.2,158,4.0,,,1028.8,55.2,0.0,0.0,12.3
2023-05-19T08:31:15-04:00,11.3,182,P16,1.4,198, ,40º 37.770 N,73º 20.092 W,2.1,159,4.0,,,1028.7,55.7,0.0,0.0,12.3
2023-05-19T09:21:33-04:00,12.6,175,S72,6.6,103, ,40º 36.619 N,73º 20.583 W,2.2,158,4.1,,,1028.7,56.3,0.0,0.0,12.6
2023-05-19T11:07:11-04:00,14.5,167,S64,6.0,103, ,40º 34.010 N,73º 05.689 W,2.6,157,4.4,0.2,70,1028.8,56.8,0.0,0.0,14.5
2023-05-19T13:02:47-04:00,13.5,162,S59,5.4,103, ,40º 31.402 N,72º 50.794 W,2.6,158,4.4,0.1,30,1027.6,56.1,0.0,0.0,13.5
2023-05-19T15:12:51-04:00,14.9,159,P54,5.2,213, ,40º 28.794 N,72º 35.899 W,2.5,157,4.4,0.0,310,1026.1,56.2,0.0,0.0,15.8
